id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,921,1018,130300,167025,150,53675,1145,1239,214625,248425,620,1240,122475,249425,1812
1,952,1066,129950,165650,150,51800,1210,1303,213950,248450,651,1303,126975,248550,1906
2,948,1062,126650,165450,150,51250,1202,1295,219250,251150,648,1297,120850,252050,1848
3,940,1044,130275,165750,150,51225,1179,1274,211250,247950,637,1274,122625,248150,1836
4,967,1076,124700,160400,150,53800,1218,1316,212500,247400,657,1315,127425,247000,1954
5,972,1084,126075,160225,150,58225,1234,1336,211125,247725,668,1336,123500,246925,2047
6,943,1059,128150,164950,150,56850,1209,1295,214850,245750,648,1296,123650,246550,1977
7,927,1035,125550,168375,150,53000,1173,1259,216975,249875,629,1259,124625,250075,1843
8,958,1087,123775,162900,150,54650,1235,1337,214300,249500,668,1337,124175,250100,2072
9,915,1008,134625,171250,150,47525,1128,1220,213050,248650,609,1219,124750,247850,1756
10,957,1073,120625,157550,150,44625,1225,1313,213225,246725,656,1313,123300,246950,1926
11,958,1068,128150,165525,150,51200,1207,1298,216125,245325,649,1298,119675,245925,1951
12,960,1075,125175,165025,150,51450,1223,1319,211125,247725,660,1320,125925,247925,1968
13,999,1112,123575,157175,150,51975,1268,1367,214775,249075,683,1367,125200,248975,2073
14,971,1097,124125,161975,149,50725,1247,1349,212975,249275,674,1349,127750,248675,2041
15,931,1028,131400,165100,150,51900,1154,1244,210900,249600,622,1244,125750,249400,1748
16,966,1072,124775,157125,150,48600,1219,1312,207325,242525,656,1312,120300,242325,1903
17,952,1055,136950,166750,150,50600,1194,1290,213550,249750,645,1290,127400,249750,1878
18,950,1050,129475,161750,150,50125,1189,1276,214150,244750,638,1276,124925,245525,1899
19,983,1104,124250,159150,150,55350,1253,1361,216750,251250,680,1361,125475,250350,2084
