beta,milp,heuristic
0.0,0.603646005966,0.654473574698
1e-05,0.609017290436,0.663310544852
0.0001,0.610745685444,0.661570333541
0.0005,0.612185916101,0.660486196951
0.001,0.609086937527,0.660544006619
0.003,0.623843648208,0.675053697453
0.005,0.627309753483,0.674663402693
0.01,0.67925,0.702770111418
0.1,0.721133858268,0.710407790627
1.0,0.722654028436,0.710568112401
