arch1_ub,arch1_lb,arch2_ub,arch2_lb,arch4_ub,arch4_lb,arch5_ub,arch5_lb,total_cnk
150.0,150.0,1313.0,1212.0,1078.0,927.0,1314.0,1297.0,1926.0
150.0,150.0,1298.0,1197.0,1071.0,922.0,1298.0,1286.0,1951.0
150.0,150.0,1319.0,1218.0,1076.0,912.0,1320.0,1300.0,1968.0
150.0,150.0,1367.0,1252.0,1113.0,934.0,1367.0,1354.0,2073.0
150.0,150.0,1349.0,1239.0,1100.0,915.0,1348.0,1334.0,2041.0
