beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,864.0,241530.0,864.0,0.0,0.0,0.0,753.0,209170.0,753.0
1e-05,864.0,242820.0,866.4282,0.0,0.0,0.0,763.0,213520.0,765.1352
2e-05,864.0,243360.0,868.8672,0.0,0.0,0.0,748.0,211180.0,752.2236
4e-05,864.0,243560.0,873.7424,0.0,0.0,0.0,756.0,211360.0,764.4544
8e-05,865.0,242870.0,884.4296,0.0,0.0,0.0,755.0,212020.0,771.9616
0.0001,864.0,243670.0,888.367,0.0,0.0,0.0,750.0,210460.0,771.046
0.0002,864.0,244640.0,912.928,0.0,0.0,0.0,759.0,213110.0,801.622
0.0004,864.0,245450.0,962.18,0.0,0.0,0.0,749.0,211740.0,833.696
0.0008,864.0,245710.0,1060.568,0.0,0.0,0.0,744.0,211450.0,913.16
0.001,864.0,246230.0,1110.23,0.0,0.0,0.0,749.0,213130.0,962.13
0.002,863.0,247760.0,1358.52,0.0,0.0,0.0,749.0,213980.0,1176.96
0.004,861.0,248950.0,1856.8,0.0,0.0,0.0,743.0,212480.0,1592.92
0.008,857.0,249980.0,2856.84,0.0,0.0,0.0,744.0,215580.0,2468.64
0.01,849.0,250840.0,3357.4,0.0,0.0,0.0,599.0,229660.0,2895.6
0.02,823.0,252190.0,5866.8,0.0,0.0,0.0,599.0,229660.0,5192.2
0.04,758.0,254790.0,10949.6,0.0,0.0,0.0,599.0,229660.0,9785.4
0.08,716.0,255910.0,21188.8,0.0,0.0,0.0,599.0,229660.0,18971.8
0.1,708.0,256100.0,26318.0,0.0,0.0,0.0,599.0,229660.0,23565.0
0.2,708.0,256210.0,51950.0,0.0,0.0,0.0,599.0,229660.0,46531.0
0.4,712.0,256290.0,103228.0,0.0,0.0,0.0,599.0,229660.0,92463.0
1.0,705.0,256290.0,256995.0,0.0,0.0,0.0,599.0,229660.0,230259.0
10.0,706.0,256330.0,2564006.0,0.0,0.0,0.0,599.0,229660.0,2297199.0
