id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,355.0,384.0,225800.0,249500.0,146.0,143225.0,620.0,656.0,271325.0,278900.0,250.0,501.0,132025.0,278925.0,1812.0
1,342.0,377.0,225950.0,251550.0,145.0,142900.0,608.0,644.0,272525.0,280675.0,248.0,496.0,133175.0,281275.0,1906.0
2,345.0,378.0,223275.0,251875.0,145.0,143500.0,615.0,652.0,271350.0,281650.0,249.0,499.0,144550.0,281675.0,1848.0
3,346.0,382.0,223375.0,251175.0,147.0,144100.0,635.0,669.0,273025.0,279425.0,249.0,498.0,141075.0,280150.0,1836.0
4,347.0,374.0,235550.0,251750.0,148.0,144025.0,628.0,664.0,270850.0,280450.0,249.0,499.0,146875.0,280625.0,1954.0
5,334.0,366.0,228575.0,253175.0,147.0,142925.0,625.0,663.0,272000.0,281650.0,246.0,493.0,145825.0,281250.0,2047.0
6,346.0,379.0,222500.0,251600.0,146.0,143200.0,622.0,657.0,272100.0,280900.0,245.0,490.0,147050.0,279600.0,1977.0
7,350.0,385.0,221100.0,250900.0,146.0,143900.0,625.0,666.0,272850.0,281150.0,254.0,509.0,137475.0,281475.0,1843.0
8,348.0,378.0,230375.0,250400.0,145.0,140800.0,630.0,673.0,268325.0,279750.0,248.0,496.0,136600.0,278750.0,2072.0
9,336.0,370.0,226375.0,252475.0,149.0,146700.0,634.0,665.0,273875.0,281000.0,242.0,485.0,147725.0,281725.0,1756.0
10,341.0,370.0,229175.0,252175.0,147.0,143200.0,637.0,679.0,271525.0,281000.0,245.0,491.0,136575.0,281175.0,1926.0
11,352.0,390.0,217000.0,250200.0,147.0,142025.0,645.0,682.0,273875.0,280150.0,256.0,513.0,144400.0,280175.0,1951.0
12,341.0,374.0,223750.0,252150.0,148.0,146200.0,633.0,673.0,272800.0,281350.0,251.0,502.0,142600.0,281275.0,1968.0
13,332.0,358.0,236675.0,253275.0,147.0,145600.0,622.0,646.0,272800.0,281100.0,235.0,471.0,143100.0,281200.0,2073.0
14,333.0,367.0,225275.0,252675.0,149.0,144725.0,615.0,656.0,274375.0,281850.0,248.0,496.0,142275.0,281525.0,2041.0
15,342.0,376.0,223700.0,250500.0,148.0,143600.0,634.0,676.0,270525.0,279700.0,267.0,535.0,137825.0,279175.0,1748.0
16,347.0,379.0,223800.0,250800.0,149.0,144825.0,635.0,675.0,268800.0,278725.0,252.0,505.0,135400.0,279475.0,1903.0
17,347.0,374.0,228825.0,251425.0,146.0,144225.0,623.0,646.0,276175.0,280475.0,248.0,496.0,141925.0,280550.0,1878.0
18,356.0,392.0,224125.0,250425.0,148.0,143125.0,625.0,658.0,271600.0,280525.0,255.0,510.0,141625.0,280400.0,1899.0
19,319.0,347.0,236175.0,254800.0,148.0,147400.0,615.0,641.0,276850.0,281450.0,228.0,457.0,133925.0,281250.0,2084.0
