Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
8508,8295,8533,7648,7648,6502,9193,8991,9410,30204,
8660,8433,8506,7777,7777,6464,9360,9158,9364,31965,
8635,8405,8617,7751,7751,6529,9329,9066,9457,31604,
8621,8418,8663,7761,7761,6508,9329,9173,9408,30764,
8736,8549,8497,7854,7854,6473,9450,9331,9371,31281,
8685,8436,8539,7767,7767,6475,9362,9085,9438,30305,
8688,8432,8579,7785,7785,6502,9389,9131,9419,32460,
8747,8484,8547,7825,7825,6493,9441,9306,9425,31415,
8755,8525,8617,7842,7842,6489,9470,9201,9449,31955,
8618,8395,8594,7749,7749,6522,9320,9140,9417,28410,
