Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
14564,26163,25561,8491,8573,11237,14583,26403,25759,33087,
15152,24436,23979,8783,8905,11049,15167,24677,24104,29798,
14498,24256,23818,8434,8629,10850,14505,24488,23939,29978,
15302,25977,25395,8667,8732,11216,15325,26190,25641,32523,
15022,23935,23538,8737,8942,10965,15031,24209,23741,29105,
14905,25666,25035,8550,8575,11012,14913,25914,25191,32235,
14800,24234,23738,8643,8768,10862,14813,24463,23914,29780,
14932,25241,24784,8604,8721,11046,14943,25452,24962,31441,
14862,25032,24513,8633,8640,11011,14876,25280,24634,31134,
14668,24180,23666,8528,8716,10827,14677,24408,23779,29903,
