Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
9160,8448,8892,7821,7821,6597,9658,9008,9519,31474,
9210,8474,8837,7784,7784,6551,9674,8959,9521,30979,
9075,8339,8779,7698,7698,6514,9542,8827,9478,30844,
9153,8394,8944,7720,7720,6606,9595,8899,9561,31087,
9191,8420,8916,7794,7794,6560,9662,8969,9444,29821,
9194,8474,9039,7797,7797,6648,9675,8976,9638,31958,
9186,8417,8923,7775,7775,6609,9656,8930,9545,31237,
9118,8381,8917,7751,7751,6630,9586,8880,9639,30159,
9216,8521,8916,7842,7842,6613,9705,9031,9638,30729,
9202,8450,8969,7765,7765,6653,9655,8953,9649,32679,
