#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,9258.0,993125.0,99321758.0,0.0,0.0,0.0,2808.0,975944.0,97597208.0
2.0,14630.0,1988176.0,198832230.0,0.0,0.0,0.0,14768.0,1917793.0,191794068.0
4.0,20994.0,3698102.0,369831194.0,0.0,0.0,0.0,21120.0,3659394.0,365960520.0
6.0,19992.0,4055065.0,405526492.0,0.0,0.0,0.0,20097.0,4023733.0,402393397.0
8.0,26542.0,4783972.0,478423742.0,0.0,0.0,0.0,26568.0,4752951.0,475321668.0
10.0,26560.0,4784776.0,478504160.0,0.0,0.0,0.0,26581.0,4754211.0,475447681.0
12.0,26560.0,4784776.0,478504160.0,0.0,0.0,0.0,26581.0,4754211.0,475447681.0
14.0,26580.0,4785480.0,478574580.0,0.0,0.0,0.0,26593.0,4754788.0,475505393.0
16.0,28750.0,4812296.0,481258350.0,0.0,0.0,0.0,28621.0,4789845.0,479013121.0
18.0,28750.0,4812296.0,481258350.0,0.0,0.0,0.0,28621.0,4789845.0,479013121.0
20.0,28771.0,4815732.0,481601971.0,0.0,0.0,0.0,28638.0,4793778.0,479406438.0
