src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,22,6,0,1,5,4.0
0,28,5,2,0,1,1.0
0,41,45,2,0,17,16.0
0,50,1,0,2,5,4.0
0,67,17,0,1,17,16.0
0,79,63,1,2,17,16.0
0,92,35,2,0,9,8.0
0,93,28,1,1,17,16.0
1,3,41,2,0,17,16.0
1,6,70,2,1,9,8.0
1,15,18,1,0,1,1.0
1,17,46,0,1,17,16.0
1,34,63,1,2,17,16.0
1,37,2,0,0,41,40.0
1,72,1,2,1,1,1.0
1,82,11,1,0,1,1.0
1,85,58,2,1,5,4.0
1,91,29,1,2,17,16.0
2,1,12,1,1,1,1.0
2,14,65,0,0,5,4.0
2,35,41,2,2,5,4.0
2,37,28,0,1,9,8.0
2,43,5,0,1,5,4.0
2,58,1,1,1,9,8.0
2,61,39,1,1,41,40.0
2,77,2,2,0,17,16.0
2,82,70,0,0,5,4.0
2,84,56,0,1,9,8.0
2,91,46,2,2,17,16.0
2,92,3,0,0,1,1.0
3,1,46,2,1,17,16.0
3,9,62,0,1,9,8.0
3,13,0,2,1,1,1.0
3,21,28,2,2,17,16.0
3,22,71,1,1,9,8.0
3,32,12,1,2,1,1.0
3,33,10,1,1,1,1.0
3,46,18,1,0,5,4.0
3,64,0,0,2,1,1.0
3,71,20,0,2,9,8.0
3,73,8,2,2,9,8.0
3,99,17,2,2,1,1.0
4,0,39,0,0,41,40.0
4,6,21,1,2,17,16.0
4,20,13,2,1,9,8.0
4,21,3,2,0,5,4.0
4,23,46,2,0,5,4.0
4,40,53,2,0,1,1.0
4,44,2,1,1,1,1.0
4,59,0,2,0,1,1.0
4,60,0,0,1,5,4.0
4,62,71,1,1,9,8.0
4,67,29,2,0,17,16.0
4,91,1,1,2,1,1.0
4,96,2,2,2,1,1.0
5,28,22,1,0,17,16.0
5,47,0,0,2,5,4.0
5,50,46,2,0,17,16.0
5,85,0,1,0,1,1.0
6,95,9,1,2,9,8.0
7,5,20,0,0,17,16.0
7,23,63,1,0,17,16.0
7,27,0,1,1,1,1.0
7,29,37,0,2,9,8.0
7,39,4,0,0,9,8.0
8,44,37,1,1,9,8.0
9,2,63,0,2,17,16.0
