Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
15590,25843,25270,8850,9092,10689,15592,26069,25385,30055,
15059,26961,26216,8644,8806,10774,15061,27169,26441,31893,
15423,26958,26373,8833,8980,10650,15428,27139,26478,31806,
15441,26615,25931,8776,9029,10852,15442,26804,26035,31272,
15604,27017,26353,8735,9001,10805,15611,27212,26553,31857,
15323,26563,25934,8767,8941,10727,15326,26750,26170,31375,
15586,26227,25604,8900,9149,10633,15588,26419,25728,30477,
15733,25952,25339,8864,9116,10591,15733,26157,25489,30099,
15529,26817,26237,8867,9077,10807,15534,27041,26472,31310,
15270,26512,25811,8705,8850,10585,15272,26699,25972,31089,
