Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
9800,19598,21881,5447,5451,7292,9809,19687,21989,30966,
9745,20421,22712,5417,5422,7444,9760,20487,22783,32705,
9783,19709,21776,5442,5450,7359,9789,19794,21810,30159,
9777,19952,22076,5432,5434,7397,9791,20022,22115,31675,
9738,19622,21689,5395,5397,7261,9745,19692,21805,30681,
9812,19840,22321,5455,5455,7365,9819,19921,22315,31823,
9924,19559,21225,5467,5474,7326,9929,19651,21424,29373,
9904,19845,21900,5479,5480,7426,9907,19915,21983,31200,
9627,19462,21597,5381,5376,7363,9634,19538,21737,30456,
9621,20001,22000,5369,5380,7464,9631,20072,22112,31282,
