Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
7805,16834,20757,4194,4205,6082,7809,16890,20877,33087,
8014,16371,19466,4320,4321,5999,8027,16437,19556,29798,
7767,15999,19402,4221,4225,5894,7774,16070,19513,29978,
7854,16831,20652,4234,4229,5980,7866,16880,20695,32523,
7996,16284,19284,4299,4300,5975,8007,16352,19392,29105,
7841,16539,20273,4225,4224,5956,7853,16598,20366,32235,
7933,16225,19323,4299,4310,5978,7947,16276,19469,29780,
7858,16461,20194,4268,4271,5996,7866,16515,20268,31441,
7860,16418,19821,4258,4257,6029,7867,16482,19997,31134,
7904,16178,19259,4266,4270,5881,7913,16234,19352,29903,
