Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
4098,10147,16937,2606,2605,3893,4100,10157,16985,33558,
3950,9996,15932,2601,2602,3875,3955,10006,16012,30465,
4081,10047,16648,2612,2616,3839,4084,10052,16702,32457,
3990,10145,15893,2585,2585,3834,3993,10160,15997,30711,
3945,10039,16430,2580,2583,3859,3946,10048,16441,32387,
3989,10054,16305,2609,2610,3884,3989,10068,16329,31537,
4006,9860,15676,2606,2607,3792,4008,9876,15712,29648,
3962,10111,16424,2578,2579,3865,3965,10120,16397,31966,
3929,10005,16543,2569,2571,3821,3934,10016,16546,32615,
3914,9921,15547,2566,2566,3853,3915,9938,15612,29437,
