Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
23538,29142,28707,13242,13512,14599,23540,29334,28832,30976,
23655,30358,29925,13185,13416,14654,23657,30532,30004,32520,
23525,30155,29726,13126,13477,14533,23526,30341,29831,32309,
23791,29736,29199,13248,13558,14458,23793,29893,29357,31659,
23481,29814,29347,13019,13269,14443,23483,29980,29488,31877,
23527,28662,28185,13180,13473,14271,23529,28847,28333,30320,
23113,27531,27074,13177,13432,14153,23113,27673,27209,28926,
23453,31565,31071,13046,13279,14642,23455,31763,31242,34258,
23292,28294,27823,13198,13541,14263,23293,28437,27956,29814,
24008,30289,29742,13293,13585,14559,24012,30460,29882,32306,
