Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
13824,24248,24476,7535,7627,9454,13831,24389,24645,31151,
13316,23784,23791,7432,7787,9234,13321,23920,23948,29938,
13272,23339,23300,7443,7626,9232,13275,23482,23442,29159,
13595,24130,24349,7455,7534,9307,13602,24245,24448,30617,
13054,24346,24553,7303,7475,9357,13056,24478,24798,31464,
12849,24591,25093,7273,7302,9491,12850,24714,25300,32429,
13778,24745,24821,7441,7561,9493,13784,24881,24977,31457,
13321,23744,23732,7381,7489,9355,13326,23890,23877,29715,
13319,24037,24239,7409,7511,9330,13323,24157,24405,30867,
13644,24950,25056,7469,7617,9524,13647,25107,25172,31509,
