Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
24640,29215,28825,13859,14028,14748,24642,29360,28920,30668,
24886,30090,29558,13927,14209,15102,24889,30240,29638,31674,
24439,29542,29061,13871,14106,15002,24442,29702,29227,31111,
25189,30933,30358,13872,14095,15105,25191,31124,30524,32802,
24645,29024,28513,13981,14227,14762,24645,29180,28661,30388,
25112,30170,29622,13970,14291,15164,25112,30330,29735,31681,
25738,30658,30133,14083,14330,15081,25739,30820,30273,32223,
25430,31000,30449,13771,14149,15192,25430,31163,30624,32824,
24644,29784,29309,13899,14175,15058,24646,29918,29451,31303,
25204,30492,29927,13963,14233,15263,25209,30651,30032,32150,
