Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
14005,25787,25605,7989,8025,10095,14008,25951,25777,32049,
13883,26605,26401,8013,8132,10001,13885,26749,26574,33322,
14211,26375,26065,8038,8178,10214,14213,26520,26167,32638,
14358,25775,25310,8034,8193,9934,14362,25933,25418,31242,
14643,25456,25024,8186,8287,10100,14654,25611,25258,30463,
14048,25551,25257,8005,8071,10038,14050,25682,25426,31289,
14452,25109,24737,8088,8260,9989,14457,25263,24946,30323,
14966,24206,23836,8347,8516,9863,14970,24405,23959,28728,
14369,25428,25007,8089,8253,9870,14375,25591,25231,30934,
14709,25671,25253,8137,8251,9980,14715,25837,25436,31122,
