Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
19500,27556,27017,11031,11238,12586,19500,27766,27166,30377,
19466,26800,26317,10999,11207,12433,19466,27009,26436,29307,
19459,27261,26750,10979,11261,12346,19460,27461,26885,29966,
19625,27857,27339,11083,11297,12631,19626,28035,27432,30631,
19801,28214,27732,11056,11277,12662,19803,28433,27862,31165,
19467,28164,27566,11064,11259,12487,19472,28369,27712,31092,
19402,26894,26483,10909,11188,12354,19405,27120,26591,29506,
19912,27672,27200,11086,11335,12689,19912,27903,27359,30419,
19871,27864,27369,11075,11263,12677,19873,28093,27490,30722,
19540,27903,27414,10977,11088,12541,19540,28099,27548,30833,
