Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
5036,8659,14264,2050,2050,3111,5041,8670,14234,30188,
5020,8638,14111,2064,2064,3060,5021,8647,14148,29502,
4999,8648,14357,2065,2065,3149,5004,8658,14373,30964,
5011,8600,14419,2070,2072,3136,5013,8607,14459,31288,
5003,8646,14010,2068,2068,3150,5008,8654,13993,28822,
5020,8621,14661,2066,2069,3164,5027,8629,14722,32039,
5028,8655,14581,2065,2065,3094,5029,8665,14540,31280,
5009,8629,14524,2048,2050,3173,5011,8639,14529,30939,
5052,8644,14618,2088,2088,3134,5056,8656,14576,31411,
5002,8587,14153,2074,2074,3154,5005,8599,14200,29835,
