Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
25117,29479,28998,14691,14975,15448,25117,29618,29115,30649,
26159,30670,30068,14811,15030,15700,26161,30817,30219,31995,
25414,27739,27319,14645,14965,15194,25415,27841,27385,28438,
25889,29265,28835,14435,14688,15225,25889,29405,28940,30309,
26322,31325,30822,14776,15077,15889,26323,31485,30955,32806,
25952,29281,28851,14685,14953,15671,25952,29430,28966,30324,
26390,30069,29590,14652,14923,15586,26391,30201,29708,31232,
26317,30375,29890,14845,15107,15596,26317,30506,29968,31612,
26435,31568,31027,14627,14909,16109,26435,31716,31200,33114,
26086,29980,29474,14587,14933,15510,26087,30122,29633,31117,
