Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
7432,12502,18509,3127,3128,4678,7442,12520,18533,33567,
7481,12297,17877,3151,3153,4583,7490,12323,17918,31974,
7421,12375,17198,3143,3143,4602,7426,12397,17316,29956,
7447,12453,18029,3102,3102,4659,7458,12466,18058,31987,
7377,12454,17760,3110,3110,4561,7392,12472,17798,31264,
7421,12404,17911,3127,3125,4598,7431,12424,17911,32058,
7427,12414,18023,3123,3122,4638,7437,12438,18121,32314,
7430,12428,17640,3145,3145,4622,7445,12440,17655,31281,
7437,12382,17739,3159,3159,4604,7450,12405,17753,31192,
7484,12546,17871,3139,3141,4639,7496,12566,17905,31725,
