Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
21854,28099,27604,12421,12689,13600,21854,28269,27747,30101,
22255,29304,28822,12416,12752,13786,22257,29520,28977,31648,
22041,28424,27925,12445,12674,13676,22042,28592,28065,30488,
22507,29165,28777,12467,12719,13852,22512,29356,28916,31495,
21864,28702,28125,12214,12483,13507,21865,28881,28262,30877,
22401,29402,28956,12450,12684,13736,22403,29592,29059,31699,
21835,28752,28289,12248,12541,13775,21846,28922,28421,31018,
21857,27779,27336,12511,12796,13623,21859,27938,27412,29656,
22772,30391,29830,12659,12978,14231,22773,30582,30018,32781,
22037,29577,29072,12487,12764,14010,22037,29747,29189,31969,
