src,dst,spec,used_slot,tfk_slot
28,6,37,4,4
24,90,36,4,4
18,84,42,4,4
10,62,28,4,4
47,5,31,2,2
14,17,39,2,2
64,18,47,8,8
60,68,45,7,7
22,20,41,7,7
92,80,49,6,6
84,11,46,6,6
76,94,48,6,6
66,41,45,6,6
50,26,49,6,6
27,73,48,6,6
19,63,51,6,6
7,75,48,6,6
99,49,43,5,5
98,65,51,5,5
90,8,44,5,5
89,58,46,5,5
86,78,46,5,5
82,83,47,5,5
81,21,47,5,5
72,55,46,5,5
59,79,47,5,5
57,52,47,5,5
53,13,46,5,5
47,25,47,5,5
45,54,47,5,5
43,29,49,5,5
39,31,47,5,5
36,42,42,5,5
32,16,29,5,5
24,56,43,5,5
23,40,44,5,5
15,61,46,5,5
14,93,46,5,5
9,87,47,5,5
4,2,44,5,5
88,77,42,4,4
51,38,40,4,4
34,44,47,4,4
33,3,48,4,4
30,71,47,4,4
12,97,44,4,4
6,62,41,4,4
69,96,36,3,3
37,48,48,3,3
10,46,38,3,3
0,17,6,2,2
81,8,52,7,7
0,53,51,7,7
77,79,52,6,6
76,9,54,6,6
36,54,52,6,6
19,44,57,6,6
99,13,51,5,5
95,26,55,5,5
94,67,54,5,5
89,65,56,5,5
85,84,52,5,5
78,35,36,5,5
75,38,54,5,5
72,39,52,5,5
64,58,55,5,5
63,59,57,5,5
60,83,52,5,5
56,69,48,5,5
51,1,44,5,5
45,57,52,5,5
43,23,54,5,5
41,22,51,5,5
33,27,54,5,5
31,16,52,5,5
25,61,52,5,5
21,86,52,5,5
10,82,52,5,5
7,50,55,5,5
4,14,51,5,5
98,42,15,4,4
96,15,51,4,4
92,11,21,4,4
87,6,52,4,4
73,93,54,4,4
66,70,51,4,4
40,24,49,4,4
18,17,55,4,4
12,52,52,4,4
3,20,52,4,4
71,62,51,3,3
48,80,55,3,3
47,28,41,3,3
32,74,48,3,3
34,49,32,2,2
5,88,46,2,2
2,55,40,2,2
34,75,59,7,7
76,13,60,6,6
20,1,56,6,6
96,79,58,5,5
93,22,58,5,5
81,90,59,5,5
78,84,57,5,5
72,53,58,5,5
63,69,62,5,5
59,66,62,5,5
54,55,58,5,5
43,52,59,5,5
38,15,59,5,5
32,94,59,5,5
30,68,52,5,5
23,98,59,5,5
14,99,56,5,5
4,25,57,5,5
92,67,59,4,4
89,77,61,4,4
