Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
9401,9401,9401,0,9371,9362,9336,0,9401,9401,9401,0,9401,
8976,8976,8976,0,8971,8971,8951,0,8976,8976,8976,0,8976,
8507,8507,8507,0,8486,8482,8483,0,8507,8507,8507,0,8507,
9033,9033,9033,0,9019,9010,8985,0,9033,9033,9033,0,9033,
9983,9983,9983,0,9823,9818,9821,0,9983,9983,9983,0,9983,
8743,8743,8743,0,8709,8707,8708,0,8743,8743,8743,0,8743,
9513,9513,9513,0,9436,9430,9421,0,9513,9513,9513,0,9513,
9685,9685,9685,0,9645,9630,9620,0,9685,9685,9685,0,9685,
8319,8319,8319,0,8312,8310,8309,0,8319,8319,8319,0,8319,
8895,8895,8895,0,8889,8888,8880,0,8895,8895,8895,0,8895,
9076,9076,9076,0,9057,9045,9023,0,9076,9076,9076,0,9076,
9485,9485,9485,0,9461,9454,9439,0,9485,9485,9485,0,9485,
8742,8742,8742,0,8728,8723,8720,0,8742,8742,8742,0,8742,
9317,9317,9317,0,9276,9268,9253,0,9317,9317,9317,0,9317,
9410,9410,9410,0,9285,9272,9295,0,9410,9410,9410,0,9410,
9066,9066,9066,0,9064,9062,9047,0,9066,9066,9066,0,9066,
9679,9679,9679,0,9614,9591,9592,0,9679,9679,9679,0,9679,
9168,9168,9168,0,9143,9135,9130,0,9168,9168,9168,0,9168,
9534,9534,9534,0,9453,9442,9468,0,9534,9534,9534,0,9534,
9014,9014,9014,0,8992,8988,8974,0,9014,9014,9014,0,9014,
