#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,13417.0,861053.0,13417.0,0.0,0.0,0.0,12675.0,770653.0,12675.0
2.0,18575.0,1706853.0,18575.0,0.0,0.0,0.0,17783.0,1551053.0,17783.0
4.0,24658.0,3077153.0,24658.0,0.0,0.0,0.0,24201.0,3056936.0,24201.0
6.0,25093.0,3389953.0,25093.0,0.0,0.0,0.0,24555.0,3364794.0,24555.0
8.0,28680.0,4289126.0,28680.0,0.0,0.0,0.0,28474.0,4210432.0,28474.0
10.0,28681.0,4293424.0,28681.0,0.0,0.0,0.0,28472.0,4209136.0,28472.0
12.0,28681.0,4293424.0,28681.0,0.0,0.0,0.0,28472.0,4209136.0,28472.0
14.0,28684.0,4293730.0,28684.0,0.0,0.0,0.0,28493.0,4218830.0,28493.0
16.0,29752.0,4933317.0,29752.0,0.0,0.0,0.0,29669.0,4918657.0,29669.0
18.0,29752.0,4933317.0,29752.0,0.0,0.0,0.0,29669.0,4918657.0,29669.0
20.0,29877.0,4947498.0,29877.0,0.0,0.0,0.0,29734.0,4921286.0,29734.0
