Energy: 377/2084
source POD, destination POD, #cores, #slots, successful,
87,44,1,5,1,
87,58,1,5,1,
87,96,1,5,1,
88,83,1,5,1,
90,8,1,5,1,
90,40,1,5,1,
48,39,1,5,1,
91,0,1,5,1,
91,10,1,5,1,
91,42,1,5,1,
91,50,1,5,1,
91,51,1,5,1,
91,62,1,5,1,
91,71,1,5,1,
91,75,1,5,1,
91,84,1,5,1,
65,85,1,5,1,
69,54,1,9,1,
27,75,1,9,1,
47,69,1,9,1,
3,87,1,9,1,
4,7,1,9,1,
76,69,1,9,1,
4,24,1,9,1,
4,25,1,9,1,
4,30,1,9,1,
82,62,1,9,1,
4,41,1,9,1,
4,44,1,9,1,
4,46,1,9,1,
97,92,1,9,1,
4,87,1,9,1,
16,3,1,9,1,
5,90,1,9,1,
5,99,1,9,1,
72,92,1,9,1,
6,39,1,9,1,
6,41,1,9,1,
6,52,1,9,1,
6,59,1,9,1,
6,60,1,9,1,
6,63,1,9,1,
6,94,1,9,1,
6,96,1,9,1,
7,28,1,9,1,
7,70,1,9,1,
7,93,1,9,1,
50,97,1,9,1,
8,0,1,9,1,
8,19,1,9,1,
17,1,1,9,1,
8,31,1,9,1,
8,33,1,9,1,
8,39,1,9,1,
8,48,1,9,1,
39,88,1,9,1,
98,90,1,9,1,
8,64,1,9,1,
8,66,1,9,1,
8,78,1,9,1,
6,22,1,9,1,
27,74,1,9,1,
54,81,1,9,1,
9,18,1,9,1,
39,91,1,9,1,
9,68,1,9,1,
9,91,1,9,1,
10,6,1,9,1,
10,12,1,9,1,
72,39,1,9,1,
68,62,1,9,1,
97,24,1,9,1,
10,61,1,9,1,
14,37,1,9,1,
10,87,1,9,1,
11,9,1,9,1,
61,85,1,9,1,
11,13,1,9,1,
11,18,1,9,1,
11,24,1,9,1,
11,28,1,9,1,
11,29,1,9,1,
11,33,1,9,1,
11,45,1,9,1,
44,75,1,9,1,
11,71,1,9,1,
11,74,1,9,1,
11,79,1,9,1,
11,93,1,9,1,
12,0,1,9,1,
12,3,1,9,1,
12,43,1,9,1,
12,47,1,9,1,
12,60,1,9,1,
12,79,1,9,1,
12,84,1,9,1,
33,16,1,9,1,
50,91,1,9,1,
38,29,1,9,1,
38,40,1,9,1,
18,80,1,9,1,
38,87,1,9,1,
58,92,1,9,1,
30,81,1,9,1,
39,17,1,9,1,
40,7,1,9,1,
39,79,1,9,1,
44,39,1,9,1,
63,49,1,9,1,
39,95,1,9,1,
54,92,1,9,1,
40,4,1,9,1,
66,15,1,9,1,
40,20,1,9,1,
23,9,1,9,1,
40,55,1,9,1,
72,46,1,9,1,
32,13,1,9,1,
41,5,1,9,1,
41,38,1,9,1,
41,59,1,9,1,
9,16,1,9,1,
66,91,1,9,1,
42,50,1,9,1,
42,64,1,9,1,
54,98,1,9,1,
42,98,1,9,1,
32,62,1,9,1,
43,12,1,9,1,
90,67,1,9,1,
43,38,1,9,1,
43,44,1,9,1,
43,62,1,9,1,
43,65,1,9,1,
93,13,1,9,1,
13,29,1,9,1,
32,16,1,9,1,
46,39,1,9,1,
13,38,1,9,1,
13,47,1,9,1,
13,51,1,9,1,
13,61,1,9,1,
84,32,1,9,1,
74,36,1,9,1,
48,75,1,9,1,
75,50,1,9,1,
32,43,1,9,1,
14,66,1,9,1,
14,84,1,9,1,
14,88,1,9,1,
20,37,1,9,1,
15,31,1,9,1,
15,48,1,9,1,
54,47,1,9,1,
15,80,1,9,1,
15,89,1,9,1,
15,93,1,9,1,
15,96,1,9,1,
95,33,1,9,1,
47,81,1,9,1,
27,55,1,9,1,
22,77,1,9,1,
16,45,1,9,1,
62,92,1,9,1,
18,34,1,9,1,
19,11,1,9,1,
62,51,1,9,1,
22,65,1,9,1,
56,77,1,9,1,
16,42,1,9,1,
22,89,1,9,1,
65,83,1,9,1,
22,97,1,9,1,
28,64,1,9,1,
28,67,1,9,1,
43,74,1,9,1,
29,14,1,9,1,
29,19,1,9,1,
29,25,1,9,1,
29,54,1,9,1,
29,84,1,9,1,
29,91,1,9,1,
30,2,1,9,1,
30,20,1,9,1,
30,29,1,9,1,
30,49,1,9,1,
91,34,1,9,1,
30,78,1,9,1,
48,84,1,9,1,
31,0,1,9,1,
31,75,1,9,1,
32,5,1,9,1,
40,84,1,9,1,
32,15,1,9,1,
13,32,1,9,1,
35,45,1,9,1,
65,62,1,9,1,
73,77,1,9,1,
35,65,1,9,1,
35,77,1,9,1,
46,41,1,9,1,
50,11,1,9,1,
16,93,1,9,1,
98,65,1,9,1,
19,17,1,9,1,
17,47,1,9,1,
17,48,1,9,1,
17,69,1,9,1,
17,77,1,9,1,
17,92,1,9,1,
17,93,1,9,1,
18,1,1,9,1,
16,55,1,9,1,
94,91,1,9,1,
18,79,1,9,1,
38,74,1,9,1,
67,71,1,9,1,
25,47,1,9,1,
19,23,1,9,1,
88,80,1,9,1,
19,41,1,9,1,
4,37,1,9,1,
28,48,1,9,1,
19,70,1,9,1,
19,71,1,9,1,
19,82,1,9,1,
19,85,1,9,1,
84,43,1,9,1,
20,11,1,9,1,
20,24,1,9,1,
27,97,1,9,1,
20,38,1,9,1,
20,66,1,9,1,
21,43,1,9,1,
22,0,1,9,1,
10,79,1,9,1,
36,3,1,9,1,
36,10,1,9,1,
