#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,2565.0,931440.0,93146565.0,0.0,0.0,0.0,2884.0,894749.0,89477784.0
2.0,5700.0,1847542.0,184759900.0,0.0,0.0,0.0,6062.0,1747311.0,174737162.0
4.0,14929.0,3475239.0,347538829.0,0.0,0.0,0.0,14499.0,3156653.0,315679799.0
6.0,23380.0,4454851.0,445508480.0,0.0,0.0,0.0,24686.0,4220903.0,422114986.0
8.0,28457.0,4893307.0,489359157.0,0.0,0.0,0.0,28537.0,4824848.0,482513337.0
10.0,29895.0,4931376.0,493167495.0,0.0,0.0,0.0,29895.0,4931376.0,493167495.0
12.0,29895.0,4931376.0,493167495.0,0.0,0.0,0.0,29895.0,4931376.0,493167495.0
14.0,29895.0,4931376.0,493167495.0,0.0,0.0,0.0,29895.0,4931376.0,493167495.0
16.0,29895.0,4931376.0,493167495.0,0.0,0.0,0.0,29895.0,4931376.0,493167495.0
18.0,29895.0,4931376.0,493167495.0,0.0,0.0,0.0,29895.0,4931376.0,493167495.0
20.0,29895.0,4931376.0,493167495.0,0.0,0.0,0.0,29895.0,4931376.0,493167495.0
