beta,milp
0.0,0.842198466688
1e-05,0.841873396065
0.0001,0.842525773196
0.0002,0.841480536056
0.0005,0.84150382328
0.001,0.844529343097
0.003,0.850889830508
0.03,0.857622495016
0.1,0.864494358325
1.0,0.863637322088
