src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
0,8,0.0,1,0,1,2,1.0
0,9,0.0,1,1,1,13,12.0
0,10,0.0,0,0,1,17,16.0
0,13,0.0,2,1,1,13,12.0
0,17,0.0,0,0,1,2,1.0
0,28,0.0,1,0,1,16,15.0
0,39,20.0,0,1,2,2,2.0
0,41,21.0,2,0,1,7,6.0
0,42,0.0,0,0,1,10,9.0
0,47,11.0,0,1,2,6,10.0
0,49,0.0,0,0,1,2,1.0
0,53,0.0,0,0,1,18,17.0
0,55,40.0,2,0,1,16,15.0
0,59,0.0,0,1,1,17,16.0
0,64,56.0,2,2,1,5,4.0
0,66,0.0,1,1,1,12,11.0
0,80,24.0,1,2,1,9,8.0
0,83,61.0,2,2,1,19,18.0
1,8,49.0,2,2,1,7,6.0
1,13,0.0,1,1,1,8,7.0
1,19,65.0,1,1,2,5,8.0
1,34,56.0,2,1,1,2,1.0
1,52,0.0,0,0,1,2,1.0
1,65,56.0,1,2,1,2,1.0
1,78,64.0,0,2,1,11,10.0
1,91,61.0,1,1,2,3,4.0
1,98,0.0,1,0,1,11,10.0
2,10,0.0,0,1,1,7,6.0
2,55,78.0,0,2,1,2,1.0
2,56,42.0,1,0,2,8,13.0
3,17,49.0,1,2,1,12,11.0
3,20,0.0,0,1,1,9,8.0
3,21,41.0,2,2,1,18,17.0
3,30,73.0,1,1,2,7,12.0
3,48,0.0,0,1,1,14,13.0
3,55,55.0,0,1,2,9,16.0
3,59,13.0,2,2,1,27,26.0
3,66,0.0,0,0,2,5,7.0
3,82,0.0,1,1,1,10,9.0
4,2,69.0,0,2,1,11,10.0
4,7,0.0,1,1,1,2,1.0
4,14,69.0,1,1,2,7,11.0
4,19,0.0,1,1,1,13,12.0
4,24,0.0,1,0,1,9,8.0
4,25,26.0,2,2,1,13,12.0
4,29,50.0,1,2,1,19,18.0
4,37,78.0,1,1,2,2,1.0
4,49,10.0,2,2,1,16,15.0
4,56,48.0,2,1,1,15,14.0
4,73,67.0,1,0,2,2,1.0
4,83,43.0,1,1,2,5,8.0
4,94,76.0,2,2,1,2,1.0
4,96,0.0,0,2,1,2,1.0
5,88,0.0,0,1,1,2,1.0
5,99,0.0,0,1,1,2,1.0
6,0,0.0,1,1,1,8,7.0
6,2,0.0,0,0,1,9,8.0
6,15,0.0,1,0,1,7,6.0
6,24,0.0,1,0,1,2,1.0
6,37,0.0,0,0,1,20,19.0
6,38,4.0,2,0,1,2,1.0
6,40,0.0,1,0,1,9,8.0
6,41,0.0,2,0,1,4,3.0
6,45,0.0,1,0,1,2,1.0
6,47,16.0,2,1,1,24,23.0
6,52,0.0,1,0,1,16,15.0
6,60,22.0,0,2,1,15,14.0
6,62,0.0,0,0,1,10,9.0
6,68,0.0,0,0,1,5,4.0
6,78,0.0,0,1,1,14,13.0
7,50,42.0,2,2,1,12,11.0
7,54,64.0,2,0,1,16,15.0
7,64,40.0,2,1,1,2,1.0
7,71,66.0,0,2,1,2,1.0
7,72,0.0,0,0,1,13,12.0
7,73,0.0,0,1,1,4,3.0
7,75,0.0,0,1,1,15,14.0
7,77,0.0,0,1,1,14,13.0
7,83,0.0,0,1,1,4,3.0
7,84,67.0,0,2,1,13,12.0
7,91,15.0,0,2,1,8,7.0
7,94,0.0,1,1,2,13,23.0
8,17,0.0,1,2,1,8,7.0
9,8,0.0,0,0,1,13,12.0
9,16,0.0,1,0,1,6,5.0
9,25,44.0,2,0,1,9,8.0
9,26,0.0,0,0,1,24,23.0
9,27,0.0,0,2,1,21,20.0
9,51,0.0,1,1,1,11,10.0
9,71,0.0,2,0,1,18,17.0
9,72,0.0,1,1,1,15,14.0
9,80,0.0,1,0,1,10,9.0
9,87,0.0,1,1,1,12,11.0
9,91,71.0,2,0,1,9,8.0
10,1,0.0,1,0,1,20,19.0
10,3,0.0,0,1,1,3,2.0
10,19,0.0,1,1,1,5,4.0
10,20,0.0,0,1,1,3,2.0
10,26,0.0,1,0,1,2,1.0
10,32,0.0,2,0,1,15,14.0
10,33,0.0,1,0,1,2,1.0
10,39,0.0,1,0,1,2,1.0
10,46,0.0,0,1,1,7,6.0
10,58,0.0,1,0,1,10,9.0
10,60,51.0,2,1,1,8,7.0
10,61,34.0,2,0,1,14,13.0
10,62,0.0,0,0,1,9,8.0
10,79,0.0,0,1,1,6,5.0
10,82,40.0,1,2,1,12,11.0
10,84,0.0,0,0,1,13,12.0
10,92,0.0,1,0,1,2,1.0
11,7,0.0,0,1,1,7,6.0
11,25,0.0,0,1,1,2,1.0
11,39,0.0,1,1,2,3,3.0
12,2,0.0,0,0,1,10,9.0
12,3,0.0,2,1,1,3,2.0
12,8,0.0,0,1,1,15,14.0
12,15,0.0,0,1,1,2,1.0
12,17,0.0,0,0,1,2,1.0
12,20,3.0,2,1,1,2,1.0
12,31,0.0,1,1,1,9,8.0
12,38,5.0,2,0,1,17,16.0
12,39,0.0,0,0,1,2,1.0
12,45,0.0,0,0,1,22,21.0
12,52,71.0,2,0,1,8,7.0
12,67,0.0,0,0,1,25,24.0
12,70,0.0,1,0,1,2,1.0
12,90,22.0,2,0,1,18,17.0
12,92,0.0,1,1,1,13,12.0
12,95,40.0,2,0,1,21,20.0
12,96,53.0,0,2,1,2,1.0
12,97,61.0,2,0,1,10,9.0
13,5,17.0,2,0,1,18,17.0
13,27,0.0,1,1,1,6,5.0
13,55,0.0,1,0,1,5,4.0
13,57,0.0,1,1,1,3,2.0
13,67,0.0,0,0,1,3,2.0
13,70,51.0,2,1,1,9,8.0
13,80,60.0,2,2,1,20,19.0
13,85,0.0,0,1,1,13,12.0
13,90,0.0,1,0,1,16,15.0
13,95,0.0,2,0,1,17,16.0
14,5,7.0,1,1,2,7,12.0
14,17,61.0,2,2,1,2,1.0
14,18,61.0,0,1,2,2,1.0
14,24,0.0,0,0,1,7,6.0
14,62,14.0,2,2,1,27,26.0
14,77,0.0,0,0,1,23,22.0
14,92,0.0,0,0,1,2,1.0
14,93,0.0,1,1,1,13,12.0
14,99,0.0,1,1,2,7,12.0
15,9,0.0,1,0,1,7,6.0
15,14,55.0,2,2,1,2,1.0
15,18,74.0,0,2,1,2,1.0
15,26,12.0,1,2,1,8,7.0
15,30,0.0,2,1,1,23,22.0
15,61,25.0,0,1,2,7,12.0
15,80,0.0,0,2,1,2,1.0
15,86,0.0,1,1,1,9,8.0
16,82,20.0,0,2,1,2,1.0
16,89,0.0,0,0,1,16,15.0
17,98,0.0,0,0,1,12,11.0
18,3,72.0,2,1,1,2,1.0
18,11,3.0,0,2,1,5,4.0
18,13,0.0,0,0,1,15,14.0
18,17,41.0,0,2,1,8,7.0
18,37,76.0,0,2,1,2,1.0
18,78,0.0,1,1,1,7,6.0
18,79,41.0,1,2,1,32,31.0
18,81,78.0,0,0,3,2,1.0
18,84,0.0,1,0,1,10,9.0
19,10,48.0,0,2,1,3,2.0
19,15,40.0,2,2,1,7,6.0
19,43,0.0,0,1,1,23,22.0
19,44,33.0,1,2,1,16,15.0
19,63,0.0,1,0,1,14,13.0
19,65,33.0,0,0,3,7,18.0
19,81,0.0,2,1,1,17,16.0
20,1,0.0,2,1,1,15,14.0
20,16,0.0,0,0,1,2,1.0
20,19,0.0,1,0,1,2,1.0
20,22,0.0,0,0,1,5,4.0
20,51,0.0,1,1,1,2,1.0
20,56,0.0,1,1,1,7,6.0
20,59,0.0,0,0,1,21,20.0
20,67,15.0,2,1,1,13,12.0
20,70,0.0,1,1,1,13,12.0
20,72,28.0,2,0,1,8,7.0
20,74,0.0,1,0,1,14,13.0
20,79,0.0,1,0,1,2,1.0
20,80,33.0,1,2,1,15,14.0
20,82,0.0,1,1,1,2,1.0
21,16,53.0,1,2,1,14,13.0
21,28,30.0,2,2,1,11,10.0
21,53,15.0,2,2,1,3,2.0
21,57,0.0,0,2,1,15,14.0
21,64,0.0,1,1,1,13,12.0
21,72,0.0,0,0,1,13,12.0
