Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
13804,13804,13804,0,10362,10398,12257,0,13804,13804,13804,0,13804,
14386,14386,14386,0,10274,10313,12548,0,14386,14386,14386,0,14386,
14613,14611,14613,0,10194,10290,12605,0,14613,14613,14613,0,14613,
14201,14201,14201,0,10268,10333,12406,0,14201,14201,14201,0,14201,
14149,14145,14149,0,10510,10528,12432,0,14149,14149,14149,0,14149,
13673,13673,13673,0,10275,10307,12115,0,13673,13673,13673,0,13673,
14165,14165,14165,0,10283,10299,12395,0,14165,14165,14165,0,14165,
13630,13627,13630,0,10094,10141,12057,0,13630,13629,13630,0,13630,
13969,13969,13969,0,10334,10362,12236,0,13969,13969,13969,0,13969,
13869,13864,13869,0,10272,10329,12230,0,13869,13866,13869,0,13869,
15162,15161,15162,0,10515,10598,12983,0,15162,15162,15162,0,15162,
13709,13706,13709,0,10264,10311,12182,0,13709,13709,13709,0,13709,
13413,13413,13413,0,10447,10481,12103,0,13413,13413,13413,0,13413,
13514,13514,13514,0,10352,10378,12049,0,13514,13514,13514,0,13514,
14647,14644,14647,0,10324,10380,12670,0,14647,14645,14647,0,14647,
14291,14291,14291,0,10272,10297,12507,0,14291,14291,14291,0,14291,
14936,14936,14936,0,10669,10713,12959,0,14936,14936,14936,0,14936,
13043,13043,13043,0,10366,10316,11830,0,13043,13043,13043,0,13043,
15201,15201,15201,0,10527,10621,12999,0,15201,15201,15201,0,15201,
14239,14239,14239,0,10410,10467,12543,0,14239,14239,14239,0,14239,
