Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
10369,10369,10369,0,9902,9901,10160,0,10369,10369,10369,0,10369,
10732,10732,10732,0,10229,10209,10491,0,10732,10732,10732,0,10732,
9970,9970,9970,0,9673,9662,9827,0,9970,9970,9970,0,9970,
10182,10182,10182,0,9847,9773,10000,0,10182,10182,10182,0,10182,
10304,10304,10304,0,9901,9871,10115,0,10304,10304,10304,0,10304,
9942,9942,9942,0,9644,9627,9798,0,9942,9942,9942,0,9942,
10536,10536,10536,0,10044,10010,10314,0,10536,10536,10536,0,10536,
10073,10073,10073,0,9779,9750,9917,0,10073,10073,10073,0,10073,
10518,10518,10518,0,9933,9922,10250,0,10518,10518,10518,0,10518,
9964,9964,9964,0,9732,9696,9842,0,9964,9964,9964,0,9964,
10537,10537,10537,0,10020,10009,10293,0,10537,10537,10537,0,10537,
10047,10047,10047,0,9753,9733,9897,0,10047,10047,10047,0,10047,
11129,11129,11129,0,10205,10222,10711,0,11129,11129,11129,0,11129,
9909,9909,9909,0,9460,9457,9721,0,9909,9909,9909,0,9909,
10697,10697,10697,0,10203,10203,10464,0,10697,10697,10697,0,10697,
10264,10264,10264,0,9817,9792,10039,0,10264,10264,10264,0,10264,
11067,11067,11067,0,10305,10268,10698,0,11067,11067,11067,0,11067,
9981,9981,9981,0,9578,9551,9804,0,9981,9981,9981,0,9981,
10437,10437,10437,0,9939,9947,10208,0,10437,10437,10437,0,10437,
10122,10122,10122,0,9677,9668,9929,0,10122,10122,10122,0,10122,
