beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,866.0,241110.0,866.0,0.0,0.0,0.0,752.0,208870.0,752.0
1e-05,866.0,242170.0,868.4217,0.0,0.0,0.0,756.0,209910.0,758.0991
2e-05,866.0,241890.0,870.8378,0.0,0.0,0.0,751.0,207350.0,755.147
4e-05,866.0,243680.0,875.7472,0.0,0.0,0.0,754.0,209700.0,762.388
8e-05,866.0,243720.0,885.4976,0.0,0.0,0.0,757.0,212910.0,774.0328
0.0001,866.0,242440.0,890.244,0.0,0.0,0.0,754.0,209450.0,774.945
0.0002,866.0,243080.0,914.616,0.0,0.0,0.0,752.0,210370.0,794.074
0.0004,866.0,243190.0,963.276,0.0,0.0,0.0,754.0,210840.0,838.336
0.0008,866.0,244010.0,1061.208,0.0,0.0,0.0,740.0,208310.0,906.648
0.001,866.0,244150.0,1110.15,0.0,0.0,0.0,750.0,209680.0,959.68
0.002,864.0,246350.0,1356.7,0.0,0.0,0.0,751.0,212810.0,1176.62
0.004,863.0,247230.0,1851.92,0.0,0.0,0.0,744.0,211780.0,1591.12
0.008,860.0,247750.0,2842.0,0.0,0.0,0.0,741.0,211750.0,2435.0
0.01,857.0,247940.0,3336.4,0.0,0.0,0.0,744.0,213280.0,2876.8
0.02,822.0,250210.0,5826.2,0.0,0.0,0.0,581.0,222870.0,5038.4
0.04,731.0,253590.0,10874.6,0.0,0.0,0.0,581.0,222870.0,9495.8
0.08,720.0,254100.0,21048.0,0.0,0.0,0.0,581.0,222870.0,18410.6
0.1,707.0,254370.0,26144.0,0.0,0.0,0.0,581.0,222870.0,22868.0
0.2,707.0,254520.0,51611.0,0.0,0.0,0.0,581.0,222870.0,45155.0
0.4,693.0,254720.0,102581.0,0.0,0.0,0.0,581.0,222870.0,89729.0
1.0,698.0,254800.0,255498.0,0.0,0.0,0.0,581.0,222870.0,223451.0
10.0,692.0,254790.0,2548592.0,0.0,0.0,0.0,581.0,222870.0,2229281.0
