Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,
915,1539,2417,478,604,1353,915,1540,2401,
915,1546,2272,483,609,1318,916,1547,2266,
947,1518,2287,516,638,1324,948,1518,2303,
934,1541,2344,490,621,1325,934,1541,2338,
911,1535,2435,480,609,1357,912,1535,2396,
923,1516,2336,496,617,1326,923,1517,2328,
929,1540,2228,493,618,1299,930,1540,2220,
895,1526,2352,492,612,1335,897,1526,2344,
903,1528,2363,488,618,1337,904,1528,2340,
932,1539,2403,489,624,1349,932,1539,2395,
915,1518,2318,498,622,1318,915,1518,2312,
915,1531,2367,492,621,1333,917,1531,2379,
914,1530,2330,487,618,1314,914,1530,2323,
901,1521,2381,485,616,1344,902,1521,2367,
921,1554,2382,487,625,1349,922,1554,2364,
900,1555,2460,493,610,1372,902,1555,2436,
927,1534,2330,506,625,1341,927,1534,2328,
910,1541,2412,491,607,1359,910,1541,2389,
909,1531,2287,477,606,1332,909,1531,2328,
910,1547,2325,472,598,1334,910,1547,2319,
