beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,761.0,194200.0,761.0,0.0,0.0,0.0,651.0,145320.0,651.0
1e-05,762.0,195490.0,763.9549,0.0,0.0,0.0,649.0,143290.0,650.4329
2e-05,762.0,195490.0,765.9098,0.0,0.0,0.0,649.0,142690.0,651.8538
4e-05,762.0,195380.0,769.8152,0.0,0.0,0.0,653.0,145850.0,658.834
8e-05,761.0,196010.0,776.6808,0.0,0.0,0.0,655.0,146210.0,666.6968
0.0001,762.0,195730.0,781.573,0.0,0.0,0.0,654.0,145860.0,668.586
0.0002,761.0,195830.0,800.166,0.0,0.0,0.0,652.0,147090.0,681.418
0.0004,762.0,195790.0,840.316,0.0,0.0,0.0,656.0,145130.0,714.052
0.0008,761.0,196550.0,918.24,0.0,0.0,0.0,630.0,182600.0,776.08
0.001,759.0,197520.0,956.52,0.0,0.0,0.0,631.0,180350.0,811.35
0.002,758.0,199700.0,1157.4,0.0,0.0,0.0,611.0,185020.0,981.04
0.004,753.0,202810.0,1564.24,0.0,0.0,0.0,615.0,185910.0,1358.64
0.008,675.0,216500.0,2407.0,0.0,0.0,0.0,564.0,192700.0,2105.6
0.01,650.0,219140.0,2841.4,0.0,0.0,0.0,518.0,197340.0,2491.4
0.02,597.0,223730.0,5071.6,0.0,0.0,0.0,525.0,197950.0,4484.0
0.04,580.0,224930.0,9577.2,0.0,0.0,0.0,475.0,198760.0,8425.4
0.08,568.0,224810.0,18552.8,0.0,0.0,0.0,475.0,198760.0,16375.8
0.1,579.0,224830.0,23062.0,0.0,0.0,0.0,475.0,198760.0,20351.0
0.2,569.0,224870.0,45543.0,0.0,0.0,0.0,475.0,198760.0,40227.0
0.4,570.0,225400.0,90730.0,0.0,0.0,0.0,475.0,198760.0,79979.0
1.0,569.0,225200.0,225769.0,0.0,0.0,0.0,475.0,198760.0,199235.0
10.0,569.0,225040.0,2250969.0,0.0,0.0,0.0,475.0,198760.0,1988075.0
