src,dst,spec,used_slot,tfk_slot
53,98,44,4,4
45,52,35,4,4
40,78,29,4,4
39,16,47,4,4
33,88,28,4,4
30,12,20,4,4
18,76,41,4,4
10,43,11,4,4
9,51,44,4,4
2,84,43,4,4
91,70,50,3,3
83,74,36,3,3
47,81,32,3,3
41,20,36,3,3
32,34,32,3,3
27,1,28,3,3
64,49,18,2,2
72,61,48,7,7
42,24,57,7,7
27,77,44,7,7
11,81,50,7,7
5,28,41,7,7
96,33,39,4,4
90,55,53,4,4
87,51,54,4,4
86,13,54,4,4
85,19,51,4,4
80,16,51,4,4
76,93,45,4,4
75,12,54,4,4
71,98,25,4,4
70,14,46,4,4
68,97,48,4,4
65,78,48,4,4
64,25,47,4,4
63,35,53,4,4
62,67,54,4,4
59,18,7,4,4
58,60,43,4,4
57,69,50,4,4
54,95,44,4,4
53,89,48,4,4
50,94,57,4,4
47,66,36,4,4
45,79,29,4,4
43,56,50,4,4
40,44,33,4,4
38,17,48,4,4
37,21,47,4,4
32,39,41,4,4
31,92,33,4,4
8,26,46,4,4
7,29,51,4,4
4,20,57,4,4
3,22,48,4,4
2,49,28,4,4
1,6,35,4,4
88,91,53,3,3
83,34,44,3,3
48,30,42,3,3
10,46,39,3,3
99,84,51,2,2
73,23,49,2,2
52,9,48,2,2
55,65,57,7,7
16,74,29,7,7
1,17,52,7,7
93,59,51,4,4
87,23,58,4,4
81,50,28,4,4
79,94,61,4,4
73,0,7,4,4
70,76,53,4,4
68,85,43,4,4
67,75,58,4,4
62,99,31,4,4
57,92,37,4,4
54,97,25,4,4
53,88,56,4,4
52,95,50,4,4
49,86,32,4,4
48,71,51,4,4
47,24,64,4,4
44,60,47,4,4
41,69,46,4,4
40,4,61,4,4
38,43,54,4,4
36,91,56,4,4
35,98,48,4,4
32,13,35,4,4
31,56,43,4,4
30,78,52,4,4
27,8,51,4,4
26,66,57,4,4
22,80,55,4,4
21,58,51,4,4
19,51,58,4,4
12,90,48,4,4
10,18,45,4,4
7,39,55,4,4
3,9,52,4,4
2,37,51,4,4
83,64,51,3,3
77,96,54,3,3
45,46,51,3,3
20,34,47,3,3
72,11,44,2,2
32,81,57,7,7
97,61,55,4,4
85,21,55,4,4
75,29,62,4,4
69,20,61,4,4
65,77,64,4,4
62,60,58,4,4
59,64,55,4,4
58,79,55,4,4
57,55,64,4,4
54,25,54,4,4
52,89,54,4,4
50,90,61,4,4
49,93,55,4,4
48,35,57,4,4
46,47,54,4,4
43,36,60,4,4
40,12,37,4,4
37,95,55,4,4
33,22,59,4,4
31,91,60,4,4
30,86,58,4,4
28,78,56,4,4
27,44,55,4,4
26,56,61,4,4
19,45,45,4,4
18,66,49,4,4
16,88,60,4,4
13,82,39,4,4
7,51,62,4,4
3,73,56,4,4
0,92,51,4,4
96,8,57,3,3
87,94,21,3,3
83,38,58,3,3
80,76,59,3,3
74,5,48,3,3
63,23,4,3,3
41,42,54,3,3
39,98,21,3,3
10,1,59,3,3
2,14,55,3,3
71,4,65,2,2
53,72,60,2,2
17,67,62,2,2
9,15,56,7,7
80,85,62,4,4
68,0,55,4,4
63,94,65,4,4
59,25,11,4,4
57,46,58,4,4
54,5,58,4,4
50,91,65,4,4
49,67,64,4,4
44,74,51,4,4
39,72,62,4,4
37,38,61,4,4
32,17,64,4,4
30,77,68,4,4
28,36,48,4,4
26,96,65,4,4
24,27,31,4,4
23,43,64,4,4
21,98,59,4,4
19,78,62,4,4
18,97,59,4,4
16,62,64,4,4
12,40,65,4,4
7,31,66,4,4
3,71,60,4,4
2,75,66,4,4
99,22,63,3,3
95,90,65,3,3
93,14,59,3,3
92,70,57,3,3
88,8,64,3,3
79,89,65,3,3
76,66,62,3,3
73,81,64,3,3
69,56,54,3,3
65,86,68,3,3
64,52,44,3,3
61,60,40,3,3
58,4,11,3,3
45,29,55,3,3
41,47,4,3,3
87,82,18,2,2
13,11,58,2,2
10,20,50,2,2
87,77,72,4,4
67,61,68,4,4
57,63,32,4,4
53,69,65,4,4
46,89,68,4,4
39,59,66,4,4
32,85,68,4,4
31,93,70,4,4
26,27,39,4,4
23,25,68,4,4
21,34,63,4,4
19,7,70,4,4
18,58,63,4,4
16,33,55,4,4
8,44,60,4,4
5,36,52,4,4
0,72,66,4,4
97,79,52,3,3
96,54,62,3,3
95,82,29,3,3
92,56,47,3,3
90,12,58,3,3
88,49,42,3,3
83,37,65,3,3
80,75,47,3,3
78,62,68,3,3
74,2,11,3,3
71,81,67,3,3
70,29,66,3,3
68,55,68,3,3
66,22,66,3,3
65,48,71,3,3
60,14,51,3,3
51,24,68,3,3
47,52,58,3,3
45,50,39,3,3
43,76,68,3,3
41,91,69,3,3
40,28,52,3,3
30,99,72,3,3
98,64,63,2,2
73,42,67,2,2
35,4,67,2,2
10,3,42,2,2
1,15,63,2,2
71,79,70,4,4
54,77,76,4,4
46,85,72,4,4
36,64,65,4,4
30,94,75,4,4
26,53,69,4,4
21,56,67,4,4
19,3,66,4,4
12,34,69,4,4
97,74,63,3,3
96,1,69,3,3
93,13,62,3,3
89,57,29,3,3
87,16,68,3,3
83,0,61,3,3
78,50,33,3,3
76,90,71,3,3
75,35,70,3,3
73,33,51,3,3
72,92,70,3,3
70,7,74,3,3
69,49,69,3,3
66,80,69,3,3
63,32,10,3,3
62,38,71,3,3
60,6,62,3,3
48,39,25,3,3
47,28,61,3,3
45,88,67,3,3
44,91,72,3,3
41,58,59,3,3
37,43,71,3,3
31,99,40,3,3
29,81,70,3,3
25,27,59,3,3
18,61,72,3,3
4,23,72,3,3
98,67,72,2,2
68,5,62,2,2
52,14,62,2,2
42,95,69,2,2
62,16,74,4,4
41,87,62,4,4
29,31,74,4,4
23,93,75,4,4
18,43,75,4,4
3,59,70,4,4
99,19,55,3,3
97,12,73,3,3
91,64,25,3,3
79,58,74,3,3
78,1,72,3,3
75,80,73,3,3
73,2,60,3,3
71,30,33,3,3
68,48,64,3,3
66,63,72,3,3
65,92,74,3,3
60,0,70,3,3
57,53,73,3,3
54,26,18,3,3
50,55,71,3,3
49,84,47,3,3
47,90,68,3,3
45,27,62,3,3
39,42,71,3,3
37,11,68,3,3
34,44,75,3,3
32,83,47,3,3
13,46,65,3,3
10,76,65,3,3
4,21,17,3,3
98,35,65,2,2
96,74,44,2,2
88,40,50,2,2
70,81,77,2,2
61,20,32,2,2
52,72,73,2,2
25,51,51,2,2
14,86,64,2,2
9,33,32,2,2
5,85,39,2,2
50,75,76,4,4
27,85,76,4,4
6,95,71,4,4
97,53,76,3,3
87,40,26,3,3
80,41,43,3,3
79,51,77,3,3
73,56,71,3,3
69,59,74,3,3
66,2,75,3,3
64,89,39,3,3
63,17,36,3,3
58,19,4,3,3
52,54,65,3,3
49,99,59,3,3
48,3,74,3,3
47,26,43,3,3
45,57,70,3,3
39,38,74,3,3
36,30,45,3,3
25,78,75,3,3
21,1,40,3,3
12,88,45,3,3
4,60,75,3,3
0,22,14,3,3
98,8,55,2,2
86,91,75,2,2
83,28,68,2,2
74,68,59,2,2
70,35,28,2,2
67,76,74,2,2
65,13,77,2,2
61,23,62,2,2
37,96,74,2,2
32,77,51,2,2
31,42,64,2,2
18,14,67,2,2
10,29,36,2,2
32,67,76,4,4
99,26,75,3,3
83,3,77,3,3
70,92,60,3,3
64,94,69,3,3
63,8,69,3,3
59,54,40,3,3
50,34,53,3,3
48,17,68,3,3
47,19,74,3,3
43,75,15,3,3
41,90,74,3,3
40,1,75,3,3
39,31,4,3,3
37,71,76,3,3
30,35,62,3,3
28,2,70,3,3
20,44,18,3,3
12,58,77,3,3
11,80,76,3,3
98,60,67,2,2
95,69,59,2,2
88,45,73,2,2
74,55,74,2,2
73,72,75,2,2
68,87,76,2,2
49,89,7,2,2
36,57,76,2,2
25,24,72,2,2
16,0,78,2,2
14,78,78,2,2
9,52,68,2,2
19,41,7,4,4
63,2,25,3,3
53,27,4,3,3
45,15,75,3,3
40,54,69,3,3
39,34,59,3,3
30,47,48,3,3
25,92,63,3,3
99,98,53,2,2
90,89,77,2,2
88,58,48,2,2
83,71,55,2,2
73,32,54,2,2
70,51,41,2,2
60,20,54,2,2
44,93,37,2,2
16,36,71,2,2
9,35,73,2,2
4,91,78,2,2
0,65,17,2,2
95,73,77,3,3
63,96,76,3,3
53,3,39,3,3
27,93,65,3,3
21,83,71,3,3
99,36,69,2,2
97,80,66,2,2
89,39,52,2,2
87,88,78,2,2
74,22,69,2,2
69,41,57,2,2
68,31,78,2,2
60,66,78,2,2
49,23,51,2,2
45,11,60,2,2
34,98,57,2,2
29,1,78,2,2
25,10,15,2,2
72,8,77,3,3
53,79,18,3,3
43,62,18,3,3
32,45,18,3,3
30,28,65,3,3
13,54,72,3,3
5,47,71,3,3
99,87,44,2,2
98,44,69,2,2
83,57,21,2,2
71,61,30,2,2
70,58,15,2,2
69,40,72,2,2
63,56,57,2,2
50,89,12,2,2
49,27,72,2,2
41,85,41,2,2
39,21,45,2,2
37,19,11,2,2
17,48,77,2,2
11,14,71,2,2
10,75,20,2,2
9,18,70,2,2
3,33,64,2,2
2,92,78,2,2
39,24,77,3,3
99,20,66,2,2
92,65,55,2,2
87,47,46,2,2
79,2,33,2,2
74,17,71,2,2
71,21,74,2,2
70,45,43,2,2
64,86,72,2,2
62,95,48,2,2
58,38,67,2,2
50,56,74,2,2
49,13,75,2,2
44,35,43,2,2
40,85,59,2,2
36,33,73,2,2
32,78,45,2,2
26,15,73,2,2
19,84,77,2,2
1,82,50,2,2
99,7,78,2,2
83,52,75,2,2
74,30,56,2,2
70,33,69,2,2
64,26,37,2,2
53,61,34,2,2
49,54,11,2,2
45,95,33,2,2
44,11,64,2,2
34,92,67,2,2
31,51,48,2,2
25,98,78,2,2
15,93,68,2,2
94,0,73,2,2
68,27,74,2,2
62,53,36,2,2
48,54,33,2,2
47,36,78,2,2
