Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
18624,26868,26326,10297,10547,11672,18628,27082,26472,29997,
18332,27511,26900,10195,10397,11866,18333,27768,27156,31021,
18799,27712,27119,10311,10472,11932,18799,27974,27284,31152,
18947,28125,27516,10346,10576,12126,18948,28358,27660,31698,
18895,28475,27892,10294,10493,12198,18900,28713,28047,32102,
19329,28127,27539,10310,10549,12051,19333,28356,27710,31437,
19072,28477,27903,10365,10587,12073,19076,28749,28060,32143,
18919,28575,27953,10119,10371,11968,18922,28834,28076,32337,
18927,28455,27852,10275,10578,12254,18928,28681,28052,32113,
18475,27969,27437,10185,10477,11978,18475,28201,27531,31555,
