Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
9235,18022,20860,4834,4840,6661,9250,18090,20971,31202,
9371,18232,21600,4864,4863,6783,9380,18282,21657,32371,
9157,17933,21017,4805,4830,6668,9169,17995,21136,31576,
9257,17783,20503,4837,4852,6668,9269,17866,20626,30012,
9195,17745,21037,4824,4833,6736,9207,17808,21102,31521,
9277,18009,20927,4864,4879,6701,9296,18062,21099,31162,
9349,17871,20400,4876,4891,6615,9361,17944,20488,29584,
9222,17909,20506,4873,4889,6656,9238,17966,20644,30140,
9149,18324,21305,4810,4829,6632,9156,18374,21425,31908,
9420,17993,20371,4890,4901,6697,9430,18054,20529,29593,
