Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
21005,28844,28356,11770,12021,13351,21006,29070,28485,31474,
21443,29839,29436,11651,11883,13263,21448,30059,29578,32775,
20993,28833,28289,11702,11931,13175,20995,28989,28415,31491,
20254,26784,26282,11729,11957,12759,20255,26976,26388,28865,
20390,28058,27526,11761,12020,13123,20390,28242,27708,30601,
20519,28280,27768,11600,11888,13003,20520,28484,27922,30893,
20445,26093,25676,11678,11916,12909,20446,26255,25829,27996,
21119,28046,27642,11593,11801,13158,21119,28259,27745,30406,
21208,28877,28350,11786,12003,13144,21214,29081,28531,31385,
21411,29051,28577,11753,12026,13188,21414,29248,28696,31711,
