Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
11745,23399,24008,6802,6809,8890,11749,23500,24165,31520,
11481,23352,23945,6723,6805,8715,11488,23449,24163,31750,
11080,23541,24740,6681,6682,8917,11095,23644,24825,33130,
11385,23116,23892,6694,6763,8690,11394,23226,24030,31484,
11670,22855,23488,6806,6995,8706,11679,22961,23592,30684,
11295,23590,24520,6675,6828,8859,11300,23691,24758,32585,
11315,22549,23113,6663,6705,8574,11323,22653,23343,30440,
11777,22630,23273,6810,6915,8621,11783,22746,23422,30330,
11596,23391,24005,6748,6841,8843,11599,23501,24261,31691,
11302,23301,24135,6713,6747,8835,11309,23402,24265,31954,
