Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
10568,21606,22778,6024,6076,8063,10578,21711,22963,31262,
10766,20961,22022,6175,6308,8001,10786,21058,22153,29369,
10594,21420,22850,6078,6213,8043,10598,21518,22919,30638,
10556,21735,23117,6072,6120,7983,10564,21832,23300,31597,
10578,21501,23080,6024,6031,8119,10586,21574,23201,31519,
10737,21415,22615,6060,6080,8105,10748,21511,22745,30648,
10851,20775,21536,6187,6232,8002,10856,20876,21611,28384,
10669,21588,22679,6067,6207,8153,10674,21689,22772,30620,
10710,20962,22364,6120,6164,7970,10722,21078,22600,30360,
10621,20914,21866,6057,6150,7846,10634,21012,22065,29384,
