#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,11263.0,580341.0,11263.0,0.0,0.0,0.0,10315.0,480141.0,10315.0
2.0,17382.0,1422622.0,17382.0,0.0,0.0,0.0,15850.0,1129741.0,15850.0
4.0,24863.0,3135841.0,24863.0,0.0,0.0,0.0,23096.0,2961178.0,23096.0
6.0,29176.0,4399041.0,29176.0,0.0,0.0,0.0,27728.0,4247940.0,27728.0
8.0,31325.0,5085340.0,31325.0,0.0,0.0,0.0,30568.0,5006240.0,30568.0
10.0,31721.0,5226641.0,31721.0,0.0,0.0,0.0,31721.0,5226641.0,31721.0
12.0,31721.0,5226641.0,31721.0,0.0,0.0,0.0,31721.0,5226641.0,31721.0
14.0,31721.0,5226641.0,31721.0,0.0,0.0,0.0,31721.0,5226641.0,31721.0
16.0,31721.0,5226641.0,31721.0,0.0,0.0,0.0,31721.0,5226641.0,31721.0
18.0,31721.0,5226641.0,31721.0,0.0,0.0,0.0,31721.0,5226641.0,31721.0
20.0,31721.0,5226641.0,31721.0,0.0,0.0,0.0,31721.0,5226641.0,31721.0
