Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
25325,30769,30344,30166,11086,11332,16947,32372,25325,30994,30545,30379,32372,
25197,29579,29211,29026,11019,11179,16670,30941,25197,29773,29412,29219,30941,
25956,30282,29758,29719,11209,11344,16865,31631,25956,30459,29979,29892,31631,
25044,30360,29900,29753,10873,11091,16760,31974,25045,30585,30134,29949,31974,
24911,28992,28626,28491,11136,11343,16601,30200,24911,29174,28830,28660,30200,
25083,28718,28322,28153,11082,11302,16508,29833,25083,28867,28509,28314,29833,
25036,29664,29257,29138,10826,11112,16716,31079,25036,29866,29463,29305,31079,
24386,28088,27748,27589,10912,11130,16211,29305,24386,28314,27966,27764,29305,
24469,28541,28149,28023,11124,11388,16476,29721,24469,28736,28353,28194,29721,
25422,30186,29812,29716,11123,11286,16806,31795,25422,30432,29979,29890,31795,
24886,29755,29272,29120,10872,11045,16615,31203,24888,29911,29475,29305,31203,
25087,30160,29722,29648,11040,11258,16715,31690,25088,30392,29953,29821,31690,
25784,31275,30838,30755,10973,11191,17176,33016,25785,31480,31063,30937,33016,
25500,30723,30238,30125,11167,11347,17021,32301,25500,30952,30438,30300,32301,
25361,29716,29279,29179,11001,11259,16684,31068,25361,29913,29479,29352,31068,
25340,29951,29523,29371,11026,11227,16742,31269,25340,30092,29723,29550,31269,
25483,29073,28741,28513,11309,11532,16693,30150,25483,29241,28908,28690,30150,
24910,29493,29053,28906,10974,11214,16664,30811,24911,29694,29282,29076,30811,
24544,29473,29138,28955,10938,11165,16634,30993,24546,29713,29349,29172,30993,
24037,27742,27340,27152,10890,11173,16076,28879,24037,27925,27515,27335,28879,
