src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,28,4,0,0,1,1.0
3,13,0,1,0,1,1.0
4,44,19,1,2,1,1.0
9,18,80,0,1,1,1.0
10,20,0,0,0,1,1.0
12,51,1,1,2,1,1.0
16,0,4,0,2,1,1.0
17,67,18,2,1,1,1.0
19,91,28,2,1,1,1.0
21,2,20,1,0,1,1.0
29,98,1,0,1,1,1.0
31,42,19,0,2,1,1.0
32,33,62,0,0,1,1.0
35,63,12,2,0,1,1.0
36,97,8,1,0,1,1.0
37,20,5,0,2,1,1.0
41,6,4,2,2,1,1.0
41,85,0,0,1,1,1.0
43,74,10,0,0,1,1.0
47,18,0,1,0,1,1.0
48,54,22,0,2,1,1.0
50,89,10,2,0,1,1.0
52,72,0,1,2,1,1.0
53,61,2,0,1,1,1.0
58,6,0,1,0,1,1.0
64,86,21,2,1,1,1.0
65,30,22,1,2,1,1.0
66,77,0,1,2,1,1.0
80,24,45,0,1,1,1.0
86,91,21,2,0,1,1.0
87,82,79,1,0,1,1.0
95,23,19,0,2,1,1.0
96,75,18,1,2,1,1.0
98,8,20,2,2,1,1.0
99,84,4,1,0,1,1.0
0,22,58,1,0,5,4.0
2,14,0,1,2,5,4.0
3,46,34,0,0,5,4.0
4,23,0,0,1,5,4.0
10,1,41,2,2,5,4.0
11,80,0,0,1,5,4.0
15,78,0,0,0,5,4.0
18,61,0,2,2,5,4.0
21,1,0,0,1,5,4.0
25,78,17,0,1,5,4.0
26,5,0,1,2,5,4.0
27,53,0,0,1,5,4.0
29,81,34,2,1,5,4.0
31,17,0,2,0,5,4.0
34,44,80,0,1,5,4.0
37,43,17,1,1,5,4.0
39,24,17,0,2,5,4.0
39,31,12,2,1,5,4.0
40,28,34,0,2,5,4.0
40,54,17,2,0,5,4.0
41,42,0,1,1,5,4.0
45,15,0,0,1,5,4.0
47,81,795,2,2,5,4.0
49,77,17,0,1,5,4.0
51,24,0,1,0,5,4.0
53,79,17,2,1,5,4.0
55,15,0,2,2,5,4.0
59,54,17,0,1,5,4.0
60,14,17,0,0,5,4.0
62,38,17,2,0,5,4.0
63,8,0,2,0,5,4.0
64,94,80,1,2,5,4.0
66,22,17,0,1,5,4.0
68,48,0,0,2,5,4.0
69,49,17,0,2,5,4.0
69,59,0,2,2,5,4.0
70,29,17,0,1,5,4.0
71,93,80,0,1,5,4.0
72,92,17,1,0,5,4.0
73,56,0,2,1,5,4.0
75,35,0,1,1,5,4.0
76,90,17,0,2,5,4.0
77,96,0,0,2,5,4.0
79,58,17,0,2,5,4.0
87,16,0,2,1,5,4.0
89,57,0,1,0,5,4.0
91,64,0,2,0,5,4.0
93,14,0,2,1,5,4.0
95,90,17,2,1,5,4.0
97,74,0,1,2,5,4.0
99,19,0,0,0,5,4.0
33,88,12,1,2,9,8.0
36,82,80,2,1,9,8.0
1,3,63,0,2,17,16.0
4,67,5,2,0,17,16.0
7,5,63,2,0,17,16.0
9,73,0,2,0,17,16.0
12,61,63,2,0,17,16.0
13,76,63,1,1,17,16.0
16,37,5,2,2,17,16.0
23,8,783,0,1,17,16.0
26,89,0,0,2,17,16.0
30,60,5,1,2,17,16.0
33,26,0,2,2,17,16.0
35,32,0,0,1,17,16.0
40,88,783,1,1,17,16.0
42,86,0,0,0,17,16.0
44,20,63,0,1,17,16.0
46,43,0,1,2,17,16.0
52,56,783,0,2,17,16.0
55,65,0,1,2,17,16.0
59,92,22,1,2,17,16.0
62,5,5,1,1,17,16.0
65,98,783,0,0,17,16.0
68,17,5,2,1,17,16.0
75,92,63,0,1,17,16.0
76,39,63,2,1,17,16.0
83,70,63,1,1,17,16.0
87,60,63,0,1,17,16.0
94,25,0,0,1,17,16.0
94,79,4,1,2,17,16.0
96,57,5,0,2,17,16.0
99,47,63,2,0,17,16.0
