src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,28,0,2,2,1,1.0
1,15,5,2,1,1,1.0
1,82,0,1,2,1,1.0
2,90,0,1,2,1,1.0
3,13,1,2,2,1,1.0
3,33,36,0,1,1,1.0
4,40,2,1,1,1,1.0
4,91,3,2,2,1,1.0
5,85,11,0,0,1,1.0
9,18,78,2,1,1,1.0
9,35,19,1,2,1,1.0
10,20,1,1,0,1,1.0
10,75,19,0,1,1,1.0
11,14,1,0,2,1,1.0
12,65,0,1,0,1,1.0
13,11,31,1,1,1,1.0
14,70,19,0,1,1,1.0
14,86,45,1,0,1,1.0
15,71,18,0,0,1,1.0
16,36,0,2,0,1,1.0
17,67,9,1,1,1,1.0
19,62,11,2,1,1,1.0
20,67,7,1,2,1,1.0
21,51,5,1,2,1,1.0
21,95,1,0,0,1,1.0
25,10,18,2,2,1,1.0
25,24,4,0,2,1,1.0
25,49,44,1,2,1,1.0
26,15,8,0,2,1,1.0
29,1,0,1,0,1,1.0
30,27,45,2,2,1,1.0
31,42,9,0,0,1,1.0
32,33,0,0,0,1,1.0
32,68,3,1,1,1,1.0
34,92,1,0,1,1,1.0
36,33,4,2,2,1,1.0
37,96,0,0,2,1,1.0
39,44,47,0,1,1,1.0
40,27,12,2,1,1,1.0
41,6,0,2,2,1,1.0
41,48,0,0,0,1,1.0
42,95,1,2,1,1,1.0
44,11,0,0,2,1,1.0
46,73,3,1,1,1,1.0
47,36,5,2,1,1,1.0
48,54,0,1,1,1,1.0
49,23,20,1,1,1,1.0
49,53,0,0,1,1,1.0
50,26,8,0,2,1,1.0
50,62,15,1,0,1,1.0
50,89,0,2,2,1,1.0
52,72,18,0,1,1,1.0
53,72,6,0,0,1,1.0
57,88,41,1,2,1,1.0
58,18,0,2,0,1,1.0
60,66,8,1,1,1,1.0
61,23,0,1,2,1,1.0
62,82,1,2,1,1,1.0
63,56,4,2,2,1,1.0
64,86,5,0,1,1,1.0
65,30,0,1,1,1,1.0
66,70,10,2,0,1,1.0
68,29,0,0,2,1,1.0
69,83,0,1,1,1,1.0
70,45,2,2,2,1,1.0
71,65,2,2,2,1,1.0
73,42,1,0,1,1,1.0
74,22,3,2,0,1,1.0
74,68,18,1,2,1,1.0
79,2,2,1,0,1,1.0
80,24,0,2,0,1,1.0
83,28,5,0,1,1,1.0
83,52,1,2,2,1,1.0
87,88,0,1,1,1,1.0
87,97,3,2,1,1,1.0
88,45,22,0,1,1,1.0
92,77,3,0,0,1,1.0
94,0,1,1,1,1,1.0
96,93,1,0,2,1,1.0
98,8,45,1,2,1,1.0
98,44,2,2,2,1,1.0
99,7,33,0,2,1,1.0
99,84,13,1,0,1,1.0
0,22,30,0,1,5,4.0
12,58,33,0,1,5,4.0
16,7,6,0,0,5,4.0
32,52,5,2,1,5,4.0
37,43,38,1,2,5,4.0
39,38,7,1,2,5,4.0
41,47,49,1,1,5,4.0
43,75,6,1,2,5,4.0
47,81,7,0,1,5,4.0
48,3,40,2,1,5,4.0
53,27,12,2,0,5,4.0
54,46,0,0,2,5,4.0
58,19,11,0,1,5,4.0
63,23,3,0,0,5,4.0
69,59,6,2,1,5,4.0
71,81,58,1,0,5,4.0
76,90,53,0,1,5,4.0
79,51,41,0,0,5,4.0
79,64,57,2,1,5,4.0
80,75,21,0,0,5,4.0
96,8,7,1,1,5,4.0
29,31,54,0,2,9,8.0
30,94,28,0,0,9,8.0
31,61,39,1,0,9,8.0
38,17,13,0,2,9,8.0
45,13,89,0,0,9,8.0
54,5,71,2,2,9,8.0
57,46,36,2,0,9,8.0
57,92,13,0,2,9,8.0
59,64,71,2,2,9,8.0
85,19,71,1,0,9,8.0
89,21,37,1,2,9,8.0
93,18,44,0,2,9,8.0
97,60,54,2,0,9,8.0
99,93,0,2,1,9,8.0
2,91,80,2,1,17,16.0
7,5,0,1,1,17,16.0
16,9,14,1,0,17,16.0
26,51,63,1,1,17,16.0
43,38,54,0,1,17,16.0
56,37,785,1,2,17,16.0
61,98,11,2,0,17,16.0
63,55,31,1,1,17,16.0
67,72,0,0,2,17,16.0
76,39,3,2,2,17,16.0
89,56,39,0,0,41,40.0
0,65,4,2,0,1,1.0
2,1,25,0,0,1,1.0
3,32,19,0,2,1,1.0
4,44,3,1,2,1,1.0
4,96,5,0,1,1,1.0
9,29,2,0,1,1,1.0
10,29,10,0,2,1,1.0
12,51,19,1,0,1,1.0
13,24,0,2,1,1,1.0
14,41,2,2,0,1,1.0
15,21,4,0,1,1,1.0
17,48,6,0,0,1,1.0
18,74,12,1,1,1,1.0
19,91,14,0,2,1,1.0
23,2,1,1,2,1,1.0
25,45,0,2,0,1,1.0
25,98,0,1,1,1,1.0
30,49,33,2,0,1,1.0
31,63,10,0,2,1,1.0
32,66,2,1,0,1,1.0
