beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.0,913.0,222043.0,913.0,0.0,0.0,0.0,832.0,197543.0,832.0
1e-05,912.0,223443.0,914.23443,0.0,0.0,0.0,832.0,198942.0,833.98942
2e-05,912.0,223443.0,916.46886,0.0,0.0,0.0,835.0,198043.0,838.96086
4e-05,912.0,222843.0,920.91372,0.0,0.0,0.0,845.0,199343.0,852.97372
8e-05,913.0,223443.0,930.87544,0.0,0.0,0.0,838.0,201343.0,854.10744
0.0001,912.0,222043.0,934.2043,0.0,0.0,0.0,841.0,200043.0,861.0043
0.0002,914.0,222443.0,958.4886,0.0,0.0,0.0,840.0,199043.0,879.8086
0.0004,911.0,231043.0,1003.4172,0.0,0.0,0.0,831.0,202043.0,911.8172
0.0008,910.0,233443.0,1096.7544,0.0,0.0,0.0,834.0,208843.0,1001.0744
0.001,909.0,234643.0,1143.643,0.0,0.0,0.0,838.0,210843.0,1048.843
0.002,905.0,238043.0,1381.086,0.0,0.0,0.0,820.0,207343.0,1234.686
0.004,894.0,243742.0,1868.968,0.0,0.0,0.0,813.0,213342.0,1666.368
0.008,885.0,245543.0,2849.344,0.0,0.0,0.0,800.0,210233.0,2481.864
0.01,882.0,246141.0,3343.41,0.0,0.0,0.0,797.0,209943.0,2896.43
0.02,856.0,247916.0,5814.32,0.0,0.0,0.0,615.0,225660.0,5128.2
0.04,811.0,250077.0,10814.08,0.0,0.0,0.0,615.0,225660.0,9641.4
0.08,744.0,251922.0,20897.76,0.0,0.0,0.0,615.0,225660.0,18667.8
0.1,739.0,252402.0,25979.2,0.0,0.0,0.0,615.0,225660.0,23181.0
0.2,737.0,252620.0,51261.0,0.0,0.0,0.0,615.0,225660.0,45747.0
0.4,740.0,252682.0,101812.8,0.0,0.0,0.0,615.0,225660.0,90879.0
1.0,731.0,252814.0,253545.0,0.0,0.0,0.0,615.0,225660.0,226275.0
10.0,727.0,252823.0,2528957.0,0.0,0.0,0.0,615.0,225660.0,2257215.0
