src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
0,8,0.0,2,2,1,2,1.0
0,9,11.0,0,2,1,13,12.0
0,10,32.0,0,2,1,17,16.0
0,13,65.0,0,1,1,13,12.0
0,17,78.0,0,0,1,2,1.0
0,28,40.0,1,2,1,16,15.0
0,39,13.0,1,1,2,2,2.0
0,41,49.0,0,2,1,7,6.0
0,42,19.0,1,2,1,10,9.0
0,47,5.0,0,1,2,6,10.0
0,49,55.0,2,2,1,2,1.0
0,53,57.0,2,2,1,18,17.0
0,55,56.0,0,1,2,9,15.0
0,64,0.0,0,2,1,5,4.0
0,66,32.0,2,0,1,12,11.0
0,80,15.0,2,2,1,9,8.0
1,8,73.0,1,1,1,7,6.0
1,13,0.0,2,1,1,8,7.0
1,19,17.0,2,1,1,9,8.0
1,34,26.0,0,1,1,2,1.0
1,52,51.0,0,0,1,2,1.0
1,65,73.0,0,2,1,2,1.0
1,78,3.0,0,2,1,11,10.0
1,91,50.0,1,1,2,3,4.0
1,98,38.0,1,0,1,11,10.0
2,55,54.0,1,1,2,2,1.0
2,56,7.0,1,0,2,8,13.0
3,17,4.0,0,0,3,5,11.0
3,20,63.0,1,1,1,9,8.0
3,21,62.0,0,2,1,18,17.0
3,30,49.0,0,2,1,13,12.0
3,48,9.0,2,2,1,14,13.0
3,55,15.0,0,1,2,9,16.0
3,66,40.0,2,2,1,8,7.0
3,82,24.0,0,0,1,10,9.0
4,2,63.0,2,2,1,11,10.0
4,7,50.0,0,1,1,2,1.0
4,14,32.0,1,1,2,7,11.0
4,24,27.0,0,2,1,9,8.0
4,25,0.0,1,1,1,13,12.0
4,29,13.0,1,2,1,19,18.0
4,37,39.0,1,1,2,2,1.0
4,49,8.0,0,2,1,16,15.0
4,56,15.0,2,0,1,15,14.0
4,73,78.0,2,2,1,2,1.0
4,83,74.0,0,0,3,4,8.0
4,94,78.0,0,2,1,2,1.0
4,96,45.0,0,1,1,2,1.0
5,88,54.0,0,1,1,2,1.0
5,99,45.0,0,2,1,2,1.0
6,0,24.0,1,0,1,8,7.0
6,2,59.0,0,0,1,9,8.0
6,15,48.0,0,0,1,7,6.0
6,24,57.0,0,2,1,2,1.0
6,34,55.0,0,0,1,2,1.0
6,37,16.0,0,2,1,20,19.0
6,38,78.0,0,1,1,2,1.0
6,40,44.0,1,2,1,9,8.0
6,41,74.0,0,1,1,4,3.0
6,45,46.0,0,0,1,2,1.0
6,47,22.0,2,0,1,24,23.0
6,50,8.0,0,0,1,8,7.0
6,52,53.0,1,1,1,16,15.0
6,62,0.0,1,0,1,10,9.0
6,68,46.0,2,0,1,5,4.0
6,78,51.0,2,0,1,14,13.0
7,50,68.0,2,1,1,12,11.0
7,54,22.0,2,0,1,16,15.0
7,64,5.0,0,1,1,2,1.0
7,71,1.0,2,2,1,2,1.0
7,72,15.0,0,0,1,13,12.0
7,73,44.0,2,2,1,4,3.0
7,75,48.0,0,0,1,15,14.0
7,77,66.0,0,0,1,14,13.0
7,83,1.0,0,0,1,4,3.0
7,84,15.0,1,1,1,13,12.0
7,91,42.0,1,2,1,8,7.0
7,94,52.0,1,0,2,13,23.0
8,17,70.0,0,1,1,8,7.0
9,3,23.0,1,2,1,2,1.0
9,8,25.0,1,1,1,13,12.0
9,16,38.0,1,0,1,6,5.0
