Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
11400,11400,11400,0,10109,10109,10848,0,11400,11400,11400,0,11400,
11263,11263,11263,0,10093,10063,10747,0,11263,11263,11263,0,11263,
11385,11385,11385,0,10127,10131,10859,0,11385,11385,11385,0,11385,
11726,11726,11726,0,10193,10192,11071,0,11726,11726,11726,0,11726,
11682,11682,11682,0,10295,10252,11103,0,11682,11682,11682,0,11682,
12382,12382,12382,0,10514,10480,11567,0,12382,12382,12382,0,12382,
12208,12208,12208,0,10624,10603,11500,0,12208,12208,12208,0,12208,
11624,11624,11624,0,10136,10109,10983,0,11624,11624,11624,0,11624,
11557,11557,11557,0,10246,10270,10989,0,11557,11557,11557,0,11557,
10699,10699,10699,0,9722,9694,10278,0,10699,10699,10699,0,10699,
11530,11530,11530,0,10124,10093,10918,0,11530,11530,11530,0,11530,
11749,11749,11749,0,10273,10226,11106,0,11749,11749,11749,0,11749,
11635,11635,11635,0,10271,10254,11053,0,11635,11635,11635,0,11635,
12756,12756,12756,0,10649,10656,11872,0,12756,12756,12756,0,12756,
12084,12084,12084,0,10328,10360,11306,0,12084,12084,12084,0,12084,
11854,11854,11854,0,10434,10416,11196,0,11854,11854,11854,0,11854,
10754,10754,10754,0,9879,9846,10380,0,10754,10754,10754,0,10754,
12224,12224,12224,0,10369,10351,11424,0,12224,12224,12224,0,12224,
11608,11608,11608,0,10286,10305,11019,0,11608,11608,11608,0,11608,
11529,11529,11529,0,10331,10285,11010,0,11529,11529,11529,0,11529,
