src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,8,0,1,0,2,1.0
0,49,0,2,1,2,1.0
1,52,12,2,0,2,1.0
2,55,45,1,1,2,1.0
4,37,3,2,1,2,1.0
4,96,9,1,0,2,1.0
5,99,0,0,2,2,1.0
6,38,78,2,0,2,1.0
7,64,2,1,2,2,1.0
9,3,51,1,0,2,1.0
9,75,51,2,0,2,1.0
10,33,5,1,1,2,1.0
10,39,1,2,0,2,1.0
12,15,15,0,1,2,1.0
14,17,57,1,0,2,1.0
15,18,0,2,1,2,1.0
16,82,76,1,1,2,1.0
18,81,36,0,0,2,1.0
20,19,5,1,0,2,1.0
20,79,0,2,1,2,1.0
24,0,0,0,0,2,1.0
25,97,30,1,0,2,1.0
32,45,0,0,2,2,1.0
34,49,0,1,0,2,1.0
38,53,57,2,2,2,1.0
40,85,61,0,0,2,1.0
42,70,5,0,1,2,1.0
43,99,47,1,0,2,1.0
47,5,17,2,1,2,1.0
48,22,78,0,0,2,1.0
51,41,0,1,2,2,1.0
52,28,6,1,2,2,1.0
53,56,19,1,2,2,1.0
58,14,31,1,0,2,1.0
60,40,0,2,1,2,1.0
61,88,7,1,1,2,1.0
62,78,6,0,2,2,1.0
63,89,29,0,2,2,1.0
64,5,3,1,2,2,1.0
65,3,0,2,2,2,1.0
66,50,0,0,0,2,1.0
70,82,36,0,2,2,1.0
72,57,0,2,1,2,1.0
75,11,39,2,1,2,1.0
76,22,0,0,2,2,1.0
76,74,0,2,0,2,1.0
79,45,0,2,0,2,1.0
84,54,34,0,1,2,1.0
86,64,78,1,0,2,1.0
88,12,0,2,1,2,1.0
93,8,26,1,2,2,1.0
96,70,0,1,2,2,1.0
98,11,45,1,0,2,1.0
12,3,0,2,1,3,2.0
19,10,63,2,0,3,2.0
30,21,16,1,0,3,2.0
45,58,77,1,2,3,2.0
48,44,0,2,1,3,2.0
54,83,25,2,1,3,2.0
63,80,0,2,0,3,2.0
69,29,26,0,1,3,2.0
77,30,14,1,0,3,2.0
98,29,15,2,0,3,2.0
6,41,19,1,1,4,3.0
7,83,3,2,2,4,3.0
57,68,11,2,0,4,3.0
67,77,31,2,0,4,3.0
87,85,76,0,2,4,3.0
1,91,6,1,1,5,4.0
13,55,13,2,2,5,4.0
27,89,0,0,1,5,4.0
32,40,50,1,2,5,4.0
69,4,34,2,0,5,4.0
71,62,0,1,2,5,4.0
87,46,11,2,0,5,4.0
27,92,15,1,2,6,5.0
77,15,14,2,0,6,5.0
94,6,69,1,0,6,5.0
1,8,28,0,1,7,6.0
26,73,73,1,1,7,6.0
34,73,30,2,0,7,6.0
47,36,0,0,2,7,6.0
51,93,73,0,0,7,6.0
69,22,26,1,1,7,6.0
71,13,59,0,0,7,6.0
31,11,30,2,2,8,7.0
48,63,80,1,1,8,7.0
50,61,72,2,0,8,7.0
56,16,0,1,2,8,7.0
24,20,18,1,0,9,8.0
24,90,64,2,2,9,8.0
43,97,0,2,2,9,8.0
59,39,71,0,1,9,8.0
60,35,71,0,0,9,8.0
86,83,18,0,0,9,8.0
91,61,2,0,2,9,8.0
36,55,0,1,0,10,9.0
78,96,47,1,2,10,9.0
87,56,21,1,0,10,9.0
25,9,11,0,0,11,10.0
37,31,9,2,1,11,10.0
51,43,12,2,0,11,10.0
59,92,19,2,0,11,10.0
75,41,21,1,0,11,10.0
94,67,27,0,0,11,10.0
7,50,68,0,1,12,11.0
66,27,64,2,2,12,11.0
89,58,790,0,0,12,11.0
33,79,67,2,0,13,12.0
53,13,0,0,1,13,12.0
80,2,40,1,2,14,13.0
21,57,15,2,0,15,14.0
36,67,65,0,1,15,14.0
76,86,65,1,2,15,14.0
92,80,42,1,2,15,14.0
19,44,0,1,0,16,15.0
59,85,3,1,1,16,15.0
23,42,1,2,2,17,16.0
47,17,42,1,1,17,16.0
81,72,5,1,1,18,17.0
93,33,14,2,0,20,19.0
66,65,80,1,0,21,20.0
82,25,55,0,2,25,24.0
88,73,32,0,2,27,26.0
0,17,12,1,1,2,1.0
1,65,0,1,0,2,1.0
4,73,0,0,1,2,1.0
5,88,38,2,1,2,1.0
6,45,2,1,2,2,1.0
9,52,27,1,0,2,1.0
10,34,63,2,0,2,1.0
12,70,44,0,0,2,1.0
14,18,41,1,1,2,1.0
15,50,2,0,0,2,1.0
18,3,11,2,2,2,1.0
20,16,0,1,0,2,1.0
20,82,0,0,2,2,1.0
24,58,2,2,0,2,1.0
26,38,35,1,2,2,1.0
31,17,17,0,0,2,1.0
33,2,3,1,2,2,1.0
37,43,64,0,0,2,1.0
40,90,25,2,2,2,1.0
44,54,28,1,2,2,1.0
51,5,25,2,0,2,1.0
55,95,0,2,2,2,1.0
58,4,29,2,2,2,1.0
58,68,29,1,1,2,1.0
61,22,0,2,1,2,1.0
63,47,54,2,2,2,1.0
64,61,0,2,0,2,1.0
70,29,24,1,1,2,1.0
72,37,0,1,1,2,1.0
75,0,5,1,2,2,1.0
76,82,2,1,0,2,1.0
77,62,0,2,0,2,1.0
78,53,4,0,2,2,1.0
86,7,16,0,0,2,1.0
89,96,5,1,0,2,1.0
93,49,0,1,2,2,1.0
96,89,57,2,0,2,1.0
13,57,41,1,1,3,2.0
24,55,4,0,1,3,2.0
45,19,0,1,2,3,2.0
47,15,0,1,1,3,2.0
