id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,0.0,618.0,0.0,228425.0,146.0,143225.0,656.0,1194.0,143600.0,261650.0,607.0,1215.0,125750.0,256225.0,1812.0
1,0.0,559.0,0.0,236075.0,145.0,142700.0,988.0,1296.0,161350.0,256950.0,644.0,1288.0,127050.0,255450.0,1906.0
2,457.0,576.0,149550.0,233850.0,145.0,143500.0,887.0,1287.0,146850.0,259050.0,641.0,1282.0,126775.0,259200.0,1848.0
3,0.0,577.0,0.0,234750.0,147.0,144100.0,667.0,1246.0,142300.0,261625.0,626.0,1253.0,129900.0,253750.0,1836.0
1,921.0,999.0,270275.0,340075.0,222.0,221100.0,2186.0,2402.0,308925.0,382700.0,1202.0,2405.0,188225.0,380725.0,4206.0
2,919.0,994.0,269725.0,340725.0,225.0,222200.0,2224.0,2441.0,312950.0,382450.0,1223.0,2446.0,197975.0,380725.0,4251.0
3,982.0,1059.0,264350.0,334150.0,223.0,223000.0,2256.0,2489.0,309125.0,381425.0,1245.0,2490.0,187725.0,380025.0,4443.0
4,1016.0,1099.0,256900.0,330900.0,224.0,223025.0,2345.0,2569.0,307750.0,379550.0,1283.0,2567.0,188950.0,377750.0,4600.0
5,951.0,1026.0,267550.0,338350.0,224.0,222500.0,2252.0,2482.0,308125.0,382125.0,1238.0,2476.0,180575.0,380550.0,4492.0
6,927.0,1006.0,263275.0,338675.0,223.0,223000.0,2165.0,2357.0,323500.0,383500.0,1179.0,2358.0,194775.0,381900.0,4204.0
8,990.0,1064.0,266575.0,333775.0,222.0,221200.0,2261.0,2483.0,310225.0,381825.0,1244.0,2488.0,184900.0,379050.0,4400.0
9,957.0,1032.0,268150.0,337550.0,224.0,223400.0,2304.0,2533.0,305875.0,380975.0,1267.0,2534.0,184450.0,379350.0,4554.0
10,951.0,1030.0,263250.0,336650.0,221.0,220025.0,2237.0,2453.0,312975.0,381875.0,1227.0,2454.0,189350.0,380650.0,4403.0
11,1010.0,1089.0,261375.0,331775.0,224.0,222225.0,2305.0,2523.0,313500.0,381600.0,1262.0,2525.0,191400.0,379275.0,4629.0
12,968.0,1045.0,266050.0,335450.0,224.0,222425.0,2248.0,2473.0,310100.0,381400.0,1235.0,2470.0,194950.0,380600.0,4444.0
13,956.0,1028.0,266675.0,337275.0,222.0,222000.0,2285.0,2517.0,306975.0,381000.0,1259.0,2518.0,189825.0,378125.0,4443.0
14,950.0,1027.0,267550.0,337150.0,223.0,223000.0,2303.0,2534.0,312675.0,381600.0,1266.0,2532.0,193325.0,379600.0,4501.0
15,960.0,1035.0,270150.0,338050.0,224.0,224000.0,2366.0,2605.0,311475.0,379875.0,1302.0,2605.0,185525.0,378150.0,4763.0
16,957.0,1034.0,267300.0,336500.0,225.0,224400.0,2253.0,2471.0,315650.0,381950.0,1234.0,2468.0,185275.0,381225.0,4362.0
17,981.0,1056.0,269125.0,333925.0,222.0,220050.0,2320.0,2544.0,311550.0,380950.0,1274.0,2549.0,184425.0,378900.0,4637.0
18,943.0,1019.0,269800.0,338800.0,224.0,223400.0,2253.0,2468.0,310375.0,382400.0,1234.0,2468.0,190150.0,381850.0,4299.0
19,964.0,1041.0,269375.0,336575.0,223.0,220900.0,2230.0,2458.0,303875.0,381775.0,1230.0,2460.0,191375.0,380850.0,4308.0
