#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,2417.0,877709.0,87773317.0,0.0,0.0,0.0,2490.0,848282.0,84830690.0
2.0,4211.0,1573139.0,157318111.0,0.0,0.0,0.0,4144.0,1475275.0,147531644.0
4.0,7609.0,2466311.0,246638709.0,0.0,0.0,0.0,6827.0,2322716.0,232278427.0
6.0,8763.0,2755804.0,275589163.0,0.0,0.0,0.0,8226.0,2593996.0,259407826.0
8.0,11520.0,3261700.0,326181520.0,0.0,0.0,0.0,10497.0,3037536.0,303764097.0
10.0,11529.0,3264901.0,326501629.0,0.0,0.0,0.0,10352.0,3016475.0,301657852.0
12.0,11529.0,3264901.0,326501629.0,0.0,0.0,0.0,10352.0,3016475.0,301657852.0
14.0,11545.0,3266993.0,326710845.0,0.0,0.0,0.0,10394.0,3027590.0,302769394.0
16.0,13232.0,3558555.0,355868732.0,0.0,0.0,0.0,12894.0,3293584.0,329371294.0
18.0,13232.0,3558555.0,355868732.0,0.0,0.0,0.0,12894.0,3293584.0,329371294.0
20.0,13240.0,3559934.0,356006640.0,0.0,0.0,0.0,12922.0,3316581.0,331671022.0
