src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
0,22,0.0,1,1,1,5,4.0
0,28,0.0,0,1,1,2,1.0
0,41,0.0,1,1,1,17,16.0
0,50,0.0,1,1,1,5,4.0
0,62,0.0,1,0,1,17,16.0
0,67,0.0,1,2,1,17,16.0
0,72,17.0,0,2,1,9,8.0
0,79,0.0,0,1,1,17,16.0
0,92,26.0,2,0,1,9,8.0
0,93,63.0,2,1,1,17,16.0
1,3,0.0,0,0,1,17,16.0
1,6,0.0,0,0,1,9,8.0
1,17,63.0,2,1,1,17,16.0
1,30,19.0,2,2,1,17,16.0
1,34,53.0,0,2,1,17,16.0
1,82,17.0,2,1,1,2,1.0
1,91,0.0,2,1,1,17,16.0
2,12,11.0,2,2,1,9,8.0
2,13,0.0,1,0,1,17,16.0
2,14,0.0,1,0,1,5,4.0
2,35,20.0,2,1,1,5,4.0
2,37,0.0,2,2,1,9,8.0
2,43,0.0,0,1,1,5,4.0
2,49,0.0,1,0,1,9,8.0
2,58,0.0,0,1,1,9,8.0
2,73,0.0,1,1,1,17,16.0
2,75,71.0,2,1,1,9,8.0
2,82,0.0,1,1,1,5,4.0
2,84,0.0,0,1,1,9,8.0
2,91,0.0,0,0,1,17,16.0
3,1,36.0,2,1,1,17,16.0
3,9,0.0,1,0,1,9,8.0
3,21,27.0,1,2,1,17,16.0
3,22,0.0,0,1,1,9,8.0
3,33,0.0,1,1,1,2,1.0
3,46,0.0,1,1,1,5,4.0
3,59,62.0,2,1,1,9,8.0
3,71,53.0,2,1,1,9,8.0
3,73,10.0,2,0,1,9,8.0
4,6,0.0,0,1,1,17,16.0
4,20,0.0,0,0,1,9,8.0
4,33,3.0,2,1,1,17,16.0
4,42,0.0,0,0,1,17,16.0
4,51,0.0,1,0,1,17,16.0
4,52,0.0,1,0,1,17,16.0
4,59,0.0,1,0,1,2,1.0
4,60,68.0,1,2,1,5,4.0
4,62,67.0,0,2,1,9,8.0
4,63,0.0,1,0,1,17,16.0
4,66,0.0,1,2,1,17,16.0
4,67,37.0,0,2,1,17,16.0
4,81,46.0,2,0,1,17,16.0
4,85,63.0,2,1,1,17,16.0
4,93,20.0,2,1,1,17,16.0
5,28,0.0,1,0,1,17,16.0
5,36,0.0,0,1,1,9,8.0
5,48,52.0,0,2,1,9,8.0
5,50,0.0,0,1,1,17,16.0
5,68,0.0,0,1,1,17,16.0
5,85,0.0,0,1,1,2,1.0
5,92,0.0,1,1,1,41,40.0
6,12,24.0,2,0,1,17,16.0
6,95,0.0,0,2,1,9,8.0
7,5,61.0,0,2,1,17,16.0
7,31,0.0,1,1,1,9,8.0
7,51,37.0,2,2,1,9,8.0
7,74,39.0,0,2,1,41,40.0
7,92,0.0,1,1,1,17,16.0
8,26,0.0,0,1,1,9,8.0
8,44,54.0,2,1,1,9,8.0
9,2,0.0,0,0,1,17,16.0
9,15,0.0,1,1,1,17,16.0
9,18,52.0,1,2,1,2,1.0
9,29,17.0,0,2,1,2,1.0
9,33,78.0,0,2,1,2,1.0
9,35,78.0,2,2,1,2,1.0
9,51,26.0,0,2,1,9,8.0
9,52,0.0,0,0,1,2,1.0
9,73,0.0,1,1,1,17,16.0
10,1,0.0,1,0,1,5,4.0
10,15,0.0,1,1,1,17,16.0
10,18,0.0,0,2,1,9,8.0
10,20,0.0,1,0,1,2,1.0
10,29,0.0,1,0,1,2,1.0
10,43,35.0,0,2,1,9,8.0
10,46,0.0,1,1,1,5,4.0
10,53,0.0,2,2,1,41,40.0
10,75,0.0,1,0,1,2,1.0
10,76,0.0,1,1,1,5,4.0
