Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
5887,13528,17440,17473,3977,5125,13929,29913,5891,13538,17520,17522,29913,
6049,13510,17860,17910,3989,5144,14162,31187,6052,13517,17941,17952,31187,
5900,13790,18413,18460,3923,5132,14553,32655,5901,13797,18491,18502,32655,
5883,13887,18801,18822,3937,5130,14744,33225,5884,13890,18875,18856,33225,
5872,13805,18183,18163,3930,5139,14356,32127,5875,13813,18268,18195,32127,
5872,13471,17498,17513,3941,5126,13986,30342,5875,13475,17570,17552,30342,
5913,13363,17178,17191,3998,5125,13824,29266,5914,13372,17264,17245,29266,
5946,13714,17770,17840,3970,5140,14131,31019,5948,13723,17858,17860,31019,
5907,13464,17983,18038,3958,5144,14260,31376,5912,13471,18063,18062,31376,
6038,13602,18064,18119,4011,5192,14281,31490,6047,13605,18148,18165,31490,
6034,13434,17706,17668,4038,5182,14072,30638,6035,13444,17784,17693,30638,
5839,13817,17876,17925,3987,5180,14192,30937,5842,13825,17965,17946,30937,
5853,13680,18143,18161,3944,5120,14411,31701,5855,13686,18221,18201,31701,
5824,13367,17669,17694,3971,5107,14029,30784,5829,13378,17753,17728,30784,
5824,14161,19331,19349,3894,5104,15074,35079,5825,14164,19398,19395,35079,
5856,13721,18478,18453,3920,5458,14473,32388,5858,13728,18555,18473,32388,
5913,13656,18325,18283,3931,5100,14442,32198,5913,13657,18393,18312,32198,
5969,13594,17332,17387,3988,5148,13860,29394,5974,13602,17411,17440,29394,
5931,13578,18338,18332,3962,5156,14504,32097,5933,13582,18406,18373,32097,
5953,13649,17952,17976,4001,5142,14308,31151,5956,13655,18031,18017,31151,
