Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
15277,26381,25791,25665,7993,8536,16775,31609,15283,26558,25987,25834,31609,
15261,25555,25119,24918,7955,8641,16491,30503,15265,25724,25277,25061,30503,
15212,26377,25876,25653,7991,8549,16703,31827,15217,26526,26060,25809,31827,
15599,25855,25285,25057,8161,8744,16611,30527,15605,26009,25496,25231,30527,
15330,26459,25869,25702,8036,8546,16851,31691,15333,26608,26080,25870,31691,
14919,26062,25633,25452,7948,8525,16606,31519,14931,26217,25828,25609,31519,
15223,26285,25735,25588,8006,8540,16702,31545,15229,26444,25911,25728,31545,
15243,26852,26382,26193,7913,8489,16985,32586,15254,27004,26565,26368,32586,
15342,25943,25636,25429,7998,8551,16676,31414,15348,26102,25816,25601,31414,
15561,26411,25788,25568,8111,8638,16834,31449,15564,26570,25981,25749,31449,
15152,25717,25248,25074,7969,8494,16548,30759,15157,25894,25474,25221,30759,
15501,25128,24582,24410,8185,8719,16328,29325,15503,25330,24793,24554,29325,
15345,26884,26274,26177,7979,8548,16952,32329,15352,27041,26481,26347,32329,
15208,25611,25101,24916,8077,8670,16502,30413,15214,25760,25292,25056,30413,
15030,25875,25428,25222,8004,8554,16605,31074,15032,26042,25650,25375,31074,
15269,26657,26221,26058,7942,8531,16924,32248,15271,26799,26432,26205,32248,
15225,25775,25279,25066,7989,8584,16529,30591,15232,25947,25472,25235,30591,
14933,26976,26532,26344,7767,8325,16970,32899,14940,27130,26739,26507,32899,
15336,25788,25322,25090,8033,8646,16498,30696,15346,25932,25494,25237,30696,
15172,26767,26216,26036,7959,8461,16886,32169,15181,26916,26429,26189,32169,
