src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,8,78,2,1,2,1.0
0,49,8,1,1,2,1.0
1,52,2,1,2,2,1.0
2,55,18,1,2,2,1.0
4,37,798,1,2,2,1.0
5,88,21,2,1,2,1.0
6,24,76,2,0,2,1.0
7,64,6,1,2,2,1.0
9,3,17,1,0,2,1.0
10,33,0,0,1,2,1.0
11,25,13,1,0,2,1.0
12,17,0,2,2,2,1.0
12,39,2,0,2,2,1.0
13,8,78,2,0,2,1.0
14,18,30,2,1,2,1.0
15,18,0,1,2,2,1.0
16,82,61,1,2,2,1.0
20,16,65,2,0,2,1.0
24,0,44,1,0,2,1.0
26,38,13,0,2,2,1.0
31,17,61,0,0,2,1.0
32,45,0,0,2,2,1.0
33,2,14,2,2,2,1.0
38,53,78,1,0,2,1.0
40,85,36,0,1,2,1.0
42,70,55,2,1,2,1.0
47,8,4,0,2,2,1.0
51,5,14,1,1,2,1.0
51,53,50,2,1,2,1.0
53,56,0,2,1,2,1.0
56,18,0,2,0,2,1.0
58,14,0,1,1,2,1.0
58,69,17,0,0,2,1.0
60,40,0,1,2,2,1.0
62,55,48,1,1,2,1.0
63,47,28,2,2,2,1.0
64,61,0,1,1,2,1.0
65,12,1,1,1,2,1.0
66,52,38,2,0,2,1.0
68,35,16,2,2,2,1.0
69,61,19,2,0,2,1.0
70,82,2,2,0,2,1.0
72,57,34,2,1,2,1.0
75,11,13,2,2,2,1.0
75,96,29,1,0,2,1.0
76,47,23,1,1,2,1.0
77,38,0,1,0,2,1.0
79,45,7,2,1,2,1.0
82,58,0,1,2,2,1.0
84,54,16,2,2,2,1.0
88,80,13,0,1,2,1.0
89,96,34,1,2,2,1.0
98,11,0,0,0,2,1.0
10,3,26,1,1,3,2.0
13,67,13,1,2,3,2.0
30,21,2,2,1,3,2.0
45,19,1,0,2,3,2.0
50,14,0,0,0,3,2.0
54,83,3,1,1,3,2.0
60,72,0,0,1,3,2.0
80,92,77,2,2,3,2.0
87,39,42,1,1,3,2.0
99,70,55,1,0,3,2.0
32,84,18,1,1,4,3.0
43,4,18,2,0,4,3.0
74,88,76,2,2,4,3.0
93,1,41,2,2,4,3.0
20,22,795,0,1,5,4.0
28,29,0,1,2,5,4.0
67,73,5,1,1,5,4.0
71,62,3,1,2,5,4.0
87,46,38,2,0,5,4.0
91,87,2,2,0,5,4.0
97,57,32,1,2,5,4.0
25,28,0,1,2,6,5.0
30,42,7,1,1,6,5.0
40,84,6,1,0,6,5.0
99,86,15,2,1,6,5.0
15,9,0,2,2,7,6.0
26,73,16,1,2,7,6.0
77,73,2,2,0,7,6.0
32,76,792,2,2,8,7.0
49,21,34,0,0,8,7.0
98,95,72,1,1,8,7.0
9,25,0,0,2,9,8.0
24,20,791,2,1,9,8.0
34,44,2,2,1,9,8.0
42,1,71,0,0,9,8.0
48,41,784,1,1,9,8.0
57,74,33,0,1,9,8.0
69,83,71,1,0,9,8.0
89,77,0,0,0,9,8.0
44,15,45,0,0,10,9.0
64,39,47,0,0,10,9.0
51,43,64,0,1,11,10.0
59,92,25,2,1,11,10.0
75,41,52,0,2,11,10.0
86,44,0,2,2,11,10.0
7,50,23,2,1,12,11.0
23,98,68,1,2,12,11.0
66,27,0,1,1,12,11.0
7,72,39,0,0,13,12.0
21,86,5,2,0,13,12.0
33,27,0,0,2,13,12.0
37,91,67,0,0,13,12.0
59,79,67,0,1,13,12.0
93,22,28,1,0,13,12.0
6,78,16,1,0,14,13.0
19,63,9,1,1,14,13.0
96,28,49,1,0,14,13.0
36,67,3,1,0,15,14.0
63,4,65,0,2,15,14.0
36,94,64,2,1,16,15.0
81,16,39,2,2,16,15.0
19,81,19,0,0,17,16.0
71,81,2,2,1,18,17.0
36,52,58,0,1,19,18.0
13,80,0,0,0,20,19.0
59,34,0,1,1,20,19.0
48,60,0,2,2,21,20.0
50,78,58,2,2,22,21.0
48,68,32,0,1,23,22.0
34,2,38,0,0,25,24.0
94,95,2,2,0,25,24.0
93,74,38,0,0,28,27.0
0,17,78,0,0,2,1.0
1,65,0,1,2,2,1.0
4,73,3,2,1,2,1.0
4,96,15,1,1,2,1.0
6,34,67,2,2,2,1.0
7,71,0,1,2,2,1.0
10,39,0,2,0,2,1.0
12,20,4,0,1,2,1.0
14,17,11,1,1,2,1.0
15,14,17,2,2,2,1.0
15,80,3,1,2,2,1.0
18,37,16,2,1,2,1.0
24,58,0,1,0,2,1.0
25,97,15,0,1,2,1.0
31,30,0,1,0,2,1.0
32,91,0,2,2,2,1.0
40,30,0,0,2,2,1.0
44,54,41,1,2,2,1.0
48,22,0,0,0,2,1.0
52,28,14,1,2,2,1.0
55,95,11,2,1,2,1.0
58,35,63,1,2,2,1.0
59,69,0,2,1,2,1.0
61,22,63,2,2,2,1.0
62,78,3,1,1,2,1.0
64,5,67,1,1,2,1.0
66,50,0,2,2,2,1.0
69,26,11,2,0,2,1.0
70,68,6,1,0,2,1.0
73,19,23,2,1,2,1.0
75,27,78,1,2,2,1.0
76,22,0,0,1,2,1.0
76,82,0,2,0,2,1.0
81,47,0,1,0,2,1.0
82,99,65,2,1,2,1.0
87,8,63,1,1,2,1.0
88,53,52,1,1,2,1.0
93,49,6,0,1,2,1.0
96,70,12,0,2,2,1.0
0,39,17,1,1,3,2.0
13,57,37,2,2,3,2.0
45,58,77,1,2,3,2.0
63,80,797,0,1,3,2.0
79,11,54,2,0,3,2.0
6,41,2,0,2,4,3.0
7,83,35,2,1,4,3.0
24,16,0,2,1,4,3.0
41,8,0,1,2,4,3.0
46,33,2,0,1,4,3.0
57,68,58,1,2,4,3.0
1,91,15,2,1,5,4.0
27,89,66,1,1,5,4.0
48,3,63,1,0,5,4.0
78,67,10,2,1,5,4.0
9,16,11,1,2,6,5.0
32,74,20,0,1,6,5.0
64,29,53,2,2,6,5.0
