Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
30216,30193,13441,13441,30216,30216,30216,
29181,29155,13584,13584,29181,29176,29181,
31261,31214,13086,13086,31261,31259,31295,
31941,31868,13147,13147,31941,31912,31941,
31046,30970,13458,13458,31046,31034,31046,
30286,30221,13488,13488,30286,30273,30286,
32399,32330,13603,13603,32399,32369,32399,
33299,33259,13448,13448,33299,33323,33386,
31450,31397,13340,13340,31450,31437,31450,
31009,31038,13364,13364,31009,31069,31093,
32000,31903,13319,13319,32000,31968,32000,
31153,31165,13743,13743,31153,31183,31198,
32400,32335,13382,13382,32400,32431,32474,
30936,30872,13465,13465,30936,30928,30936,
30430,30375,13478,13478,30430,30415,30430,
31371,31314,13552,13552,31371,31358,31371,
29999,29984,13290,13290,29999,29994,30003,
31898,31789,13393,13393,31898,31877,31898,
32116,32047,13270,13270,32116,32108,32116,
31371,31334,13388,13388,31371,31400,31425,
