Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
27313,30616,10981,11268,27314,30834,31698,
26188,28866,11095,11392,26188,29026,29644,
26466,28624,11117,11354,26466,28770,29295,
26917,29783,10951,11195,26917,29965,30717,
27898,31302,11073,11320,27899,31535,32504,
27535,31131,11076,11283,27535,31325,32199,
26882,29616,11063,11326,26883,29795,30481,
26491,29808,11071,11369,26491,29997,30784,
26026,28022,11127,11339,26026,28195,28694,
27468,29793,11076,11287,27470,29938,30576,
27326,30114,11103,11305,27326,30309,31028,
27242,29783,11133,11384,27242,29957,30625,
26756,31174,11106,11299,26756,31396,32428,
26980,29568,11042,11268,26980,29743,30424,
26726,29812,11018,11282,26726,29970,30721,
26778,29059,11049,11288,26778,29219,29817,
26934,30092,11053,11300,26934,30281,31109,
26465,28936,11039,11203,26465,29102,29725,
27837,30242,11073,11358,27837,30417,31068,
27280,31504,10958,11216,27280,31758,32844,
