Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
4343,10806,2900,4050,4344,10807,31508,
4285,10363,2870,4874,4287,10364,30257,
4392,10491,2903,4033,4393,10491,30889,
4251,10584,2838,4019,4251,10584,31685,
4315,10582,2879,4028,4316,10583,31056,
4350,10865,2897,4052,4352,10865,34032,
4345,10454,2913,4063,4347,10454,31819,
4378,10780,2926,4701,4380,10780,31135,
4322,10589,2886,4043,4322,10590,30580,
4347,10702,2907,4074,4347,10702,30772,
4332,10863,2891,4050,4335,10864,34593,
4389,10577,2934,4624,4390,10578,28806,
4366,10472,2888,4032,4367,10473,30225,
4320,10492,2901,4010,4325,10494,30534,
4339,10546,2908,4796,4341,10546,31200,
4400,10536,2932,4068,4402,10536,31576,
4394,10048,2921,4574,4396,10048,29320,
4385,10562,2929,4829,4385,10563,29901,
4373,10455,2924,4074,4375,10455,30514,
4388,10605,2900,4054,4388,10605,31750,
