Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
30311,30713,13413,13413,30311,30842,31106,
30885,31094,13461,13461,30885,31203,31349,
29777,30378,13413,13413,29777,30522,30738,
29171,29362,13428,13428,29171,29433,29528,
27865,27991,13369,13369,27865,28089,28201,
30771,31220,13392,13392,30771,31371,31612,
30406,30657,13574,13574,30406,30779,30924,
31352,31733,13532,13532,31352,31868,32109,
29419,30052,13206,13206,29419,30168,30397,
30708,31245,13689,13689,30708,31382,31619,
29185,29467,13352,13352,29185,29571,29710,
28444,28425,13441,13441,28444,28519,28651,
31729,32866,13309,13309,31729,33061,33493,
30867,31475,13278,13278,30867,31618,31901,
30291,30883,13495,13495,30291,31037,31323,
32439,33687,13337,13337,32439,33845,34281,
30615,31599,13541,13541,30615,31750,32063,
30756,31262,13537,13537,30756,31360,31613,
30300,31174,13490,13490,30300,31284,31561,
30100,30082,13473,13473,30100,30190,30267,
