Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
30561,30561,14923,15189,30561,30561,30561,
31367,31354,15088,14966,31367,31366,31367,
31102,31089,14994,14903,31102,31100,31102,
30598,30596,14895,14853,30598,30598,30598,
32867,32842,15387,15089,32867,32865,32867,
30862,30862,14988,15155,30862,30862,30862,
30229,30212,15016,15341,30229,30224,30229,
32541,32516,15202,15462,32541,32537,32541,
32290,32262,14937,14838,32290,32289,32290,
32384,32365,15083,14976,32384,32378,32384,
30938,30931,15094,15252,30938,30938,30938,
31107,31101,14873,14902,31107,31107,31107,
30944,30934,15132,14893,30944,30942,30944,
31660,31649,14953,14909,31660,31660,31660,
32562,32518,15012,14901,32562,32550,32562,
29129,29129,14814,14837,29129,29129,29129,
31053,31040,14957,14905,31053,31052,31053,
31358,31321,15134,14878,31358,31343,31358,
31197,31182,14855,14926,31197,31197,31197,
31682,31655,15167,14879,31682,31680,31682,
