Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
29176,30611,13434,13434,29176,30794,31257,
28665,30779,13129,13129,28665,30957,31524,
29725,31012,13274,13274,29725,31188,31657,
29144,30932,13311,13311,29144,31093,31633,
30846,32482,13587,13587,30846,32663,33208,
28999,30491,13357,13357,28999,30679,31106,
29139,30991,13666,13666,29139,31162,31660,
28204,30183,13303,13303,28204,30360,30892,
27494,29001,13424,13424,27494,29133,29541,
28791,30172,13430,13430,28791,30310,30704,
29247,31395,13342,13342,29247,31580,32182,
29543,31362,13461,13461,29543,31528,32080,
29430,31608,13349,13349,29430,31781,32367,
27958,29054,13537,13537,27958,29175,29472,
28195,29827,13347,13347,28195,29995,30418,
29628,31395,13411,13411,29628,31580,32111,
28273,29455,13352,13352,28273,29608,29986,
28579,30165,13465,13465,28579,30319,30775,
27869,29467,13291,13291,27869,29587,30015,
29446,31147,13480,13480,29446,31303,31788,
