Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
13104,23324,8028,8580,13107,23427,29110,
13615,24494,7994,8443,13617,24592,31808,
13524,24102,8022,8598,13528,24203,31231,
13284,23508,8049,8433,13289,23616,29822,
13203,24244,7882,8531,13212,24357,31521,
13520,23409,8165,8605,13525,23518,29216,
13494,24324,8092,8648,13502,24425,31236,
12960,24678,7890,8505,12969,24774,32266,
12919,24809,7818,8569,12924,24903,32622,
13232,23894,8127,8693,13240,23989,30481,
13255,24626,7908,8486,13262,24743,31660,
12982,23139,8007,8567,12983,23258,29460,
13434,24428,8000,8533,13441,24532,31515,
13141,24223,7923,8477,13148,24316,30966,
13151,24237,7935,8496,13164,24337,31488,
13387,23237,8052,8601,13391,23350,29204,
13548,24326,8164,8766,13560,24411,30648,
13462,24921,8062,8525,13472,25006,32251,
13333,24744,7996,8537,13346,24827,32306,
13306,23861,8052,8538,13312,23980,30239,
