Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
9203,19132,5542,5542,9212,19174,31853,
9620,19506,5657,5657,9627,19544,32100,
9600,18884,5691,5691,9609,18933,30120,
9589,19340,5640,5640,9600,19369,32104,
9473,19208,5622,5621,9477,19246,31236,
9496,19370,5652,5652,9500,19411,30965,
9615,18985,5708,5708,9622,19026,29858,
9331,18950,5622,5622,9335,19008,30406,
9539,19514,5654,5654,9546,19559,30707,
9546,19681,5659,5659,9546,19721,31932,
9158,18984,5470,5470,9165,19017,30881,
9325,18746,5636,5636,9337,18789,30583,
9308,19594,5514,5514,9314,19637,32340,
9270,19466,5544,5544,9274,19496,32565,
9262,18880,5566,5566,9268,18938,30558,
9558,18996,5672,5672,9563,19040,30392,
9374,19235,5583,5583,9378,19267,31744,
9537,18861,5691,5691,9543,18909,29598,
9463,19002,5670,5670,9468,19042,29971,
9214,19586,5496,5496,9217,19619,32185,
