Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
2850,7304,2113,3387,2850,7304,33778,
2834,7152,2113,3361,2834,7152,31325,
2858,7376,2133,3448,2859,7376,31227,
2876,7149,2121,3484,2876,7149,31851,
2889,7221,2160,3535,2889,7221,33551,
2852,7103,2148,3543,2852,7103,31555,
2869,7257,2130,3497,2869,7257,32477,
2840,7303,2115,3387,2840,7303,30920,
2868,7449,2137,3378,2869,7449,31052,
2828,7274,2112,3369,2828,7274,30956,
2854,7256,2127,3412,2856,7256,29879,
2855,7081,2103,3340,2855,7081,30468,
2848,7172,2128,3555,2848,7172,29895,
2839,7319,2114,3400,2840,7319,31267,
2815,7315,2117,3547,2815,7315,29520,
2865,7329,2115,3365,2865,7329,33809,
2867,7441,2145,3330,2867,7441,30793,
2844,7262,2115,3358,2844,7263,31415,
2836,7183,2114,3462,2837,7184,30054,
2845,7412,2130,3396,2845,7412,31112,
